degree,orig,x10
-89.5,0,0
-88.5,0,0
-87.5,0,0
-86.5,0,0
-85.5,0,0
-84.5,0,0
-83.5,0,0
-82.5,0,0
-81.5,0,0
-80.5,0,0
-79.5,0,0
-78.5,0,0
-77.5,0,0
-76.5,0,0
-75.5,0,0
-74.5,0,0
-73.5,0,0
-72.5,0,0
-71.5,0,0
-70.5,0,0
-69.5,0,0
-68.5,0,0
-67.5,0,0
-66.5,0,0
-65.5,0,0
-64.5,0,0
-63.5,0,0
-62.5,0,0
-61.5,0,0
-60.5,0,0
-59.5,0,0
-58.5,0,0
-57.5,0,0
-56.5,0,0
-55.5,0,0
-54.5,0,0
-53.5,1.24008E-8,0
-52.5,2.48016E-8,0
-51.5,4.96032E-8,0
-50.5,2.48016E-8,0
-49.5,8.68056E-8,0
-48.5,8.68056E-8,0
-47.5,1.73611E-7,0
-46.5,2.72817E-7,0
-45.5,4.46429E-7,0
-44.5,6.94444E-7,0
-43.5,1.5501E-6,0
-42.5,2.14534E-6,0
-41.5,3.23661E-6,0
-40.5,4.92312E-6,0
-39.5,7.7505E-6,0
-38.5,1.19916E-5,0
-37.5,1.71503E-5,0
-36.5,2.51364E-5,0
-35.5,3.66939E-5,0
-34.5,5.10417E-5,0
-33.5,7.32391E-5,0
-32.5,1.0062E-4,0
-31.5,1.38492E-4,0
-30.5,1.89893E-4,0
-29.5,2.52381E-4,0
-28.5,3.39534E-4,0
-27.5,4.39819E-4,1.36409E-7
-26.5,5.69556E-4,1.73611E-7
-25.5,7.32999E-4,4.46429E-7
-24.5,9.23313E-4,1.01687E-6
-23.5,0.00116,1.88492E-6
-22.5,0.00143,4.46429E-6
-21.5,0.00176,9.23859E-6
-20.5,0.00212,2.01637E-5
-19.5,0.00256,4.09598E-5
-18.5,0.00307,7.83358E-5
-17.5,0.00367,1.56014E-4
-16.5,0.0044,2.89893E-4
-15.5,0.00526,5.32341E-4
-14.5,0.00638,9.43973E-4
-13.5,0.00777,0.00165
-12.5,0.00957,0.00279
-11.5,0.01189,0.00455
-10.5,0.01484,0.00721
-9.5,0.01849,0.01109
-8.5,0.02295,0.01639
-7.5,0.02819,0.02341
-6.5,0.03401,0.03207
-5.5,0.04023,0.0422
-4.5,0.0465,0.0531
-3.5,0.05232,0.06393
-2.5,0.05723,0.07369
-1.5,0.06077,0.081
-0.5,0.06262,0.08484
0.5,0.06252,0.08487
1.5,0.0605,0.08089
2.5,0.05682,0.07369
3.5,0.05173,0.06401
4.5,0.04577,0.05309
5.5,0.03941,0.04217
6.5,0.03311,0.03206
7.5,0.02725,0.02343
8.5,0.02205,0.01641
9.5,0.01765,0.01108
10.5,0.01405,0.00724
11.5,0.01121,0.00456
12.5,0.00899,0.00278
13.5,0.00733,0.00165
14.5,0.00605,9.49715E-4
15.5,0.00507,5.33321E-4
16.5,0.00433,2.88294E-4
17.5,0.0037,1.53857E-4
18.5,0.00318,7.95635E-5
19.5,0.00275,4.0811E-5
20.5,0.00235,2.00769E-5
21.5,0.00201,9.56101E-6
22.5,0.00171,4.46429E-6
23.5,0.00144,2.19494E-6
24.5,0.00121,1.10367E-6
25.5,9.88232E-4,3.72024E-7
26.5,8.13802E-4,1.11607E-7
27.5,6.57366E-4,9.92063E-8
28.5,5.2686E-4,2.48016E-8
29.5,4.15451E-4,0
30.5,3.265E-4,0
31.5,2.50645E-4,0
32.5,1.91741E-4,0
33.5,1.43254E-4,0
34.5,1.08185E-4,0
35.5,7.92039E-5,0
36.5,5.71057E-5,0
37.5,4.27703E-5,0
38.5,3.00471E-5,0
39.5,1.97793E-5,0
40.5,1.51538E-5,0
41.5,9.66022E-6,0
42.5,6.41121E-6,0
43.5,4.47669E-6,0
44.5,2.70337E-6,0
45.5,2.02133E-6,0
46.5,1.28968E-6,0
47.5,8.92857E-7,0
48.5,5.20833E-7,0
49.5,2.60417E-7,0
50.5,3.1002E-7,0
51.5,1.11607E-7,0
52.5,6.2004E-8,0
53.5,7.44048E-8,0
54.5,1.24008E-8,0
55.5,2.48016E-8,0
56.5,0,0
57.5,0,0
58.5,0,0
59.5,0,0
60.5,0,0
61.5,0,0
62.5,0,0
63.5,0,0
64.5,0,0
65.5,0,0
66.5,0,0
67.5,0,0
68.5,0,0
69.5,0,0
70.5,0,0
71.5,0,0
72.5,0,0
73.5,0,0
74.5,0,0
75.5,0,0
76.5,0,0
77.5,0,0
78.5,0,0
79.5,0,0
80.5,0,0
81.5,0,0
82.5,0,0
83.5,0,0
84.5,0,0
85.5,0,0
86.5,0,0
87.5,0,0
88.5,0,0
89.5,0,0
