degree,orig,x10
-89.5,0,0
-88.5,0,0
-87.5,0,0
-86.5,0,0
-85.5,0,0
-84.5,0,0
-83.5,0,0
-82.5,0,0
-81.5,0,0
-80.5,0,0
-79.5,0,0
-78.5,0,0
-77.5,0,0
-76.5,0,0
-75.5,0,0
-74.5,0,0
-73.5,0,0
-72.5,0,0
-71.5,0,0
-70.5,0,0
-69.5,0,0
-68.5,0,0
-67.5,0,0
-66.5,0,0
-65.5,0,0
-64.5,0,0
-63.5,0,0
-62.5,0,0
-61.5,0,0
-60.5,5.20833E-8,0
-59.5,0,0
-58.5,1.5625E-7,0
-57.5,5.20833E-8,0
-56.5,1.04167E-7,0
-55.5,2.60417E-7,0
-54.5,2.08333E-7,0
-53.5,5.20833E-7,0
-52.5,2.60417E-7,0
-51.5,5.72917E-7,0
-50.5,1.30208E-6,0
-49.5,1.71875E-6,0
-48.5,1.5625E-6,0
-47.5,3.85417E-6,0
-46.5,4.32292E-6,0
-45.5,7.39583E-6,0
-44.5,1.19271E-5,0
-43.5,1.59896E-5,0
-42.5,2.21875E-5,0
-41.5,2.86979E-5,0
-40.5,4.00521E-5,0
-39.5,5.07292E-5,0
-38.5,7.28646E-5,0
-37.5,9.66667E-5,0
-36.5,1.2401E-4,0
-35.5,1.68125E-4,0
-34.5,2.12448E-4,0
-33.5,2.79375E-4,0
-32.5,3.55104E-4,0
-31.5,4.40417E-4,0
-30.5,5.6474E-4,0
-29.5,6.92292E-4,0
-28.5,8.56667E-4,0
-27.5,0.00105,2.08333E-7
-26.5,0.00127,5.20833E-7
-25.5,0.00153,6.25E-7
-24.5,0.00183,1.35417E-6
-23.5,0.00215,2.70833E-6
-22.5,0.00252,7.70833E-6
-21.5,0.00296,1.42188E-5
-20.5,0.0034,2.86979E-5
-19.5,0.00392,5.38021E-5
-18.5,0.00448,1.03854E-4
-17.5,0.00519,1.98073E-4
-16.5,0.00595,3.55781E-4
-15.5,0.00686,6.4526E-4
-14.5,0.00795,0.00114
-13.5,0.0093,0.00195
-12.5,0.01102,0.0032
-11.5,0.01318,0.00518
-10.5,0.01586,0.00803
-9.5,0.01911,0.01207
-8.5,0.02306,0.01755
-7.5,0.02759,0.02456
-6.5,0.03255,0.03308
-5.5,0.03788,0.0428
-4.5,0.0432,0.05313
-3.5,0.04809,0.06305
-2.5,0.05228,0.07199
-1.5,0.05515,0.07866
-0.5,0.05664,0.0823
0.5,0.05662,0.08217
1.5,0.05516,0.07859
2.5,0.05214,0.07195
3.5,0.0481,0.06321
4.5,0.04314,0.05311
5.5,0.03788,0.04276
6.5,0.03257,0.03312
7.5,0.02762,0.02446
8.5,0.02308,0.01755
9.5,0.01914,0.01208
10.5,0.01585,0.00802
11.5,0.01322,0.00516
12.5,0.011,0.00321
13.5,0.00934,0.00195
14.5,0.00796,0.00115
15.5,0.00686,6.47865E-4
16.5,0.00594,3.64271E-4
17.5,0.00517,1.93906E-4
18.5,0.00452,1.0625E-4
19.5,0.00392,5.64583E-5
20.5,0.00341,2.76042E-5
21.5,0.00291,1.36979E-5
22.5,0.00255,6.82292E-6
23.5,0.00214,3.4375E-6
24.5,0.00184,1.19792E-6
25.5,0.00153,6.25E-7
26.5,0.00127,2.08333E-7
27.5,0.00105,5.20833E-8
28.5,8.34583E-4,1.5625E-7
29.5,6.92031E-4,0
30.5,5.60885E-4,5.20833E-8
31.5,4.49479E-4,0
32.5,3.57552E-4,0
33.5,2.80104E-4,0
34.5,2.12552E-4,0
35.5,1.63542E-4,0
36.5,1.28333E-4,0
37.5,9.69792E-5,0
38.5,6.94271E-5,0
39.5,5.53125E-5,0
40.5,3.98438E-5,0
41.5,2.84375E-5,0
42.5,2.15104E-5,0
43.5,1.5625E-5,0
44.5,9.27083E-6,0
45.5,7.29167E-6,0
46.5,5.41667E-6,0
47.5,3.4375E-6,0
48.5,2.08333E-6,0
49.5,1.82292E-6,0
50.5,1.09375E-6,0
51.5,6.77083E-7,0
52.5,5.20833E-7,0
53.5,4.16667E-7,0
54.5,1.04167E-7,0
55.5,1.5625E-7,0
56.5,5.20833E-8,0
57.5,5.20833E-8,0
58.5,5.20833E-8,0
59.5,0,0
60.5,0,0
61.5,0,0
62.5,0,0
63.5,0,0
64.5,0,0
65.5,0,0
66.5,0,0
67.5,0,0
68.5,0,0
69.5,0,0
70.5,0,0
71.5,0,0
72.5,0,0
73.5,0,0
74.5,0,0
75.5,0,0
76.5,0,0
77.5,0,0
78.5,0,0
79.5,0,0
80.5,0,0
81.5,0,0
82.5,0,0
83.5,0,0
84.5,0,0
85.5,0,0
86.5,0,0
87.5,0,0
88.5,0,0
89.5,0,0
