degree,orig,x0.5,x2,x4,x10,x20,x50
-89.5,0,9.28125E-5,0,0,0,0,0
-88.5,0,8.96875E-5,0,0,0,0,0
-87.5,0,8.55208E-5,0,0,0,0,0
-86.5,0,9.625E-5,0,0,0,0,0
-85.5,0,9.60417E-5,0,0,0,0,0
-84.5,0,1.00104E-4,0,0,0,0,0
-83.5,0,1.07292E-4,0,0,0,0,0
-82.5,0,1.13646E-4,0,0,0,0,0
-81.5,0,1.18229E-4,0,0,0,0,0
-80.5,0,1.23646E-4,0,0,0,0,0
-79.5,0,1.26667E-4,0,0,0,0,0
-78.5,0,1.37292E-4,0,0,0,0,0
-77.5,0,1.46875E-4,0,0,0,0,0
-76.5,0,1.53958E-4,0,0,0,0,0
-75.5,0,1.69896E-4,0,0,0,0,0
-74.5,0,1.91667E-4,0,0,0,0,0
-73.5,0,2.03438E-4,0,0,0,0,0
-72.5,0,2.22708E-4,0,0,0,0,0
-71.5,0,2.48958E-4,0,0,0,0,0
-70.5,0,2.75521E-4,0,0,0,0,0
-69.5,0,3.06146E-4,0,0,0,0,0
-68.5,0,3.46667E-4,0,0,0,0,0
-67.5,0,3.82708E-4,0,0,0,0,0
-66.5,0,4.30938E-4,0,0,0,0,0
-65.5,0,4.8125E-4,0,0,0,0,0
-64.5,0,5.31667E-4,0,0,0,0,0
-63.5,0,5.83542E-4,0,0,0,0,0
-62.5,1.04167E-7,6.42083E-4,0,0,0,0,0
-61.5,1.04167E-7,7.19896E-4,0,0,0,0,0
-60.5,3.125E-7,7.91875E-4,0,0,0,0,0
-59.5,9.375E-7,8.89896E-4,0,0,0,0,0
-58.5,5.20833E-7,9.77604E-4,0,0,0,0,0
-57.5,1.875E-6,0.00109,0,0,0,0,0
-56.5,2.5E-6,0.0012,0,0,0,0,0
-55.5,2.39583E-6,0.00131,0,0,0,0,0
-54.5,2.91667E-6,0.00146,0,0,0,0,0
-53.5,3.33333E-6,0.00156,0,0,0,0,0
-52.5,5.52083E-6,0.00172,0,0,0,0,0
-51.5,6.5625E-6,0.00189,0,0,0,0,0
-50.5,8.75E-6,0.00203,0,0,0,0,0
-49.5,1.08333E-5,0.00221,0,0,0,0,0
-48.5,1.6875E-5,0.00237,0,0,0,0,0
-47.5,2.41667E-5,0.00254,0,0,0,0,0
-46.5,2.71875E-5,0.00273,0,0,0,0,0
-45.5,3.8125E-5,0.00291,0,0,0,0,0
-44.5,5.04167E-5,0.00307,1.04167E-7,0,0,0,0
-43.5,6.375E-5,0.00323,0,0,0,0,0
-42.5,8.57292E-5,0.00343,1.04167E-7,0,0,0,0
-41.5,1.06667E-4,0.00358,1.04167E-7,0,0,0,0
-40.5,1.37917E-4,0.00372,1.04167E-7,0,0,0,0
-39.5,1.77083E-4,0.00388,3.125E-7,0,0,0,0
-38.5,2.15521E-4,0.00401,9.375E-7,0,0,0,0
-37.5,2.82917E-4,0.00413,1.97917E-6,0,0,0,0
-36.5,3.48958E-4,0.00424,3.125E-6,0,0,0,0
-35.5,4.27187E-4,0.00437,3.85417E-6,0,0,0,0
-34.5,5.20313E-4,0.00448,5E-6,0,0,0,0
-33.5,6.24688E-4,0.00453,1.11458E-5,0,0,0,0
-32.5,7.55729E-4,0.00458,1.46875E-5,2.08333E-7,2.08333E-7,0,0
-31.5,9.04375E-4,0.00458,2.45833E-5,2.08333E-7,1.04167E-7,0,0
-30.5,0.00108,0.00459,3.8125E-5,5.20833E-7,2.08333E-7,4.16667E-7,1.04167E-7
-29.5,0.00125,0.00459,5.14583E-5,1.45833E-6,4.16667E-7,1.04167E-7,1.04167E-7
-28.5,0.00147,0.00457,7.8125E-5,3.64583E-6,1.25E-6,3.125E-7,2.08333E-7
-27.5,0.00173,0.00456,1.17917E-4,6.97917E-6,3.02083E-6,2.39583E-6,5.20833E-7
-26.5,0.00201,0.00449,1.80417E-4,1.0625E-5,6.14583E-6,2.8125E-6,1.14583E-6
-25.5,0.00228,0.00445,2.46146E-4,2.33333E-5,1.01042E-5,6.45833E-6,2.70833E-6
-24.5,0.00265,0.0044,3.49688E-4,4.26042E-5,1.96875E-5,1.32292E-5,5.83333E-6
-23.5,0.00298,0.00431,5.15208E-4,7.95833E-5,3.53125E-5,2.75E-5,1.51042E-5
-22.5,0.00337,0.00428,7.15937E-4,1.40938E-4,6.98958E-5,4.98958E-5,2.88542E-5
-21.5,0.00382,0.00422,9.88229E-4,2.42604E-4,1.23646E-4,9.19792E-5,5.70833E-5
-20.5,0.00434,0.00419,0.00136,4.075E-4,2.2625E-4,1.63229E-4,1.00625E-4
