degree,orig,x10
-89.5,0,0
-88.5,0,0
-87.5,0,0
-86.5,0,0
-85.5,0,0
-84.5,0,0
-83.5,0,0
-82.5,0,0
-81.5,0,0
-80.5,0,0
-79.5,0,0
-78.5,0,0
-77.5,0,0
-76.5,0,0
-75.5,0,0
-74.5,0,0
-73.5,0,0
-72.5,1.04167E-7,0
-71.5,1.04167E-7,0
-70.5,5.20833E-8,0
-69.5,4.6875E-7,0
-68.5,7.8125E-7,0
-67.5,6.77083E-7,0
-66.5,8.33333E-7,0
-65.5,1.14583E-6,0
-64.5,1.71875E-6,0
-63.5,1.40625E-6,0
-62.5,2.1875E-6,0
-61.5,3.17708E-6,0
-60.5,3.64583E-6,0
-59.5,5.57292E-6,0
-58.5,7.1875E-6,0
-57.5,9.11458E-6,0
-56.5,1.13021E-5,0
-55.5,1.57813E-5,0
-54.5,1.80729E-5,0
-53.5,2.61458E-5,0
-52.5,3.39583E-5,0
-51.5,4.02604E-5,0
-50.5,5.25521E-5,0
-49.5,6.36458E-5,0
-48.5,8.27604E-5,0
-47.5,9.90625E-5,0
-46.5,1.24948E-4,0
-45.5,1.55833E-4,0
-44.5,1.8526E-4,0
-43.5,2.25938E-4,0
-42.5,2.71458E-4,0
-41.5,3.23802E-4,0
-40.5,3.92812E-4,0
-39.5,4.77396E-4,0
-38.5,5.60625E-4,0
-37.5,6.52969E-4,0
-36.5,7.80729E-4,0
-35.5,8.81667E-4,0
-34.5,0.00103,0
-33.5,0.00119,1.04167E-7
-32.5,0.00136,2.60417E-7
-31.5,0.00155,1.5625E-7
-30.5,0.00174,6.77083E-7
-29.5,0.00198,1.35417E-6
-28.5,0.00222,3.07292E-6
-27.5,0.00247,7.13542E-6
-26.5,0.00278,1.30208E-5
-25.5,0.00306,2.15104E-5
-24.5,0.00342,4.03646E-5
-23.5,0.00374,6.80208E-5
-22.5,0.0041,1.21146E-4
-21.5,0.00449,1.9651E-4
-20.5,0.00494,3.14271E-4
-19.5,0.00547,5.09219E-4
-18.5,0.00604,7.93229E-4
-17.5,0.00674,0.0012
-16.5,0.00758,0.00179
-15.5,0.00861,0.0026
-14.5,0.00985,0.00371
-13.5,0.01143,0.00524
-12.5,0.01327,0.00726
-11.5,0.01549,0.00985
-10.5,0.01804,0.01326
-9.5,0.02096,0.01745
-8.5,0.02426,0.0226
-7.5,0.02765,0.02855
-6.5,0.03123,0.0353
-5.5,0.0348,0.04259
-4.5,0.03812,0.0499
-3.5,0.04106,0.05697
-2.5,0.0434,0.06287
-1.5,0.04507,0.06722
-0.5,0.04597,0.06949
0.5,0.04588,0.06962
1.5,0.04505,0.06726
2.5,0.04336,0.0628
3.5,0.041,0.05693
4.5,0.03796,0.05003
5.5,0.03471,0.0426
6.5,0.03117,0.03527
7.5,0.02756,0.02854
8.5,0.02409,0.02247
9.5,0.0209,0.01745
10.5,0.0179,0.01329
11.5,0.01535,0.00987
12.5,0.01316,0.00728
13.5,0.01134,0.00525
14.5,0.00979,0.00375
15.5,0.00856,0.00258
16.5,0.00754,0.00178
17.5,0.0067,0.00119
18.5,0.006,7.85781E-4
19.5,0.00541,5.0375E-4
20.5,0.0049,3.15833E-4
21.5,0.00449,2.00208E-4
22.5,0.00409,1.13958E-4
23.5,0.00373,6.99479E-5
24.5,0.0034,4E-5
25.5,0.00308,2.30208E-5
26.5,0.00279,1.13021E-5
27.5,0.00252,6.45833E-6
28.5,0.00225,3.07292E-6
29.5,0.002,1.92708E-6
30.5,0.00178,4.6875E-7
31.5,0.00159,3.64583E-7
32.5,0.00139,2.60417E-7
33.5,0.00122,0
34.5,0.00106,0
35.5,9.17083E-4,0
36.5,7.8776E-4,0
37.5,6.69115E-4,0
38.5,5.60469E-4,0
39.5,4.8349E-4,0
40.5,3.99792E-4,0
41.5,3.41406E-4,0
42.5,2.84167E-4,0
43.5,2.33594E-4,0
44.5,1.92031E-4,0
45.5,1.53542E-4,0
46.5,1.30156E-4,0
47.5,1.10208E-4,0
48.5,8.60417E-5,0
49.5,6.84896E-5,0
50.5,5.82292E-5,0
51.5,4.20833E-5,0
52.5,3.6875E-5,0
53.5,2.77604E-5,0
54.5,2.20313E-5,0
55.5,1.69271E-5,0
56.5,1.47917E-5,0
57.5,1.1875E-5,0
58.5,7.60417E-6,0
59.5,6.35417E-6,0
60.5,5.98958E-6,0
61.5,3.48958E-6,0
62.5,2.91667E-6,0
63.5,2.55208E-6,0
64.5,1.97917E-6,0
65.5,1.71875E-6,0
66.5,1.25E-6,0
67.5,8.33333E-7,0
68.5,5.20833E-7,0
69.5,6.77083E-7,0
70.5,5.20833E-7,0
71.5,4.16667E-7,0
72.5,1.5625E-7,0
73.5,2.60417E-7,0
74.5,1.04167E-7,0
75.5,1.5625E-7,0
76.5,0,0
77.5,0,0
78.5,0,0
79.5,0,0
80.5,0,0
81.5,0,0
82.5,0,0
83.5,0,0
84.5,0,0
85.5,0,0
86.5,0,0
87.5,0,0
88.5,0,0
89.5,0,0
