degree,orig,degree,x10
-52,0,-25,0
-51,1E-4,-24,0
-50,1E-4,-23,0
-49,0,-22,0
-48,2E-4,-21,0
-47,0,-20,0
-46,2E-4,-19,0
-45,2E-4,-18,1E-4
-44,1E-4,-17,3E-4
-43,2E-4,-16,5E-4
-42,2E-4,-15,0.001
-41,0,-14,0.0013
-40,5E-4,-13,0.0019
-39,3E-4,-12,0.0038
-38,1E-4,-11,0.007
-37,6E-4,-10,0.0091
-36,7E-4,-9,0.0146
-35,0.0015,-8,0.0178
-34,0.0014,-7,0.0283
-33,0.0023,-6,0.0399
-32,8E-4,-5,0.0436
-31,0.0023,-4,0.0555
-30,0.0035,-3,0.063
-29,0.0024,-2,0.0691
-28,0.0032,-1,0.0744
-27,0.004,0,0.0756
-26,0.0046,1,0.0743
-25,0.0054,2,0.0742
-24,0.0059,3,0.0657
-23,0.0064,4,0.0597
-22,0.0079,5,0.0527
-21,0.0093,6,0.0426
-20,0.0057,7,0.037
-19,0.0092,8,0.0242
-18,0.0104,9,0.0178
-17,0.0093,10,0.0136
-16,0.0099,11,0.0107
-15,0.009,12,0.0068
-14,0.0146,13,0.0065
-13,0.0125,14,0.0031
-12,0.015,15,0.0019
-11,0.0141,16,0.0012
-10,0.0159,17,2E-4
-9,0.0175,18,4E-4
-8,0.0175,19,4E-4
-7,0.017,20,0
-6,0.02,21,1E-4
-5,0.0181,22,1E-4
-4,0.0149,23,0
-3,0.0188,24,0
-2,0.0207,25,0
-1,0.02,,
0,0.0201,,
1,0.0202,,
2,0.0199,,
3,0.0188,,
4,0.0185,,
5,0.0165,,
6,0.0181,,
7,0.0187,,
8,0.0186,,
9,0.0155,,
10,0.0192,,
11,0.0166,,
12,0.0175,,
13,0.0174,,
14,0.0161,,
15,0.0161,,
16,0.0137,,
17,0.0128,,
18,0.0137,,
19,0.0121,,
20,0.0126,,
21,0.0143,,
22,0.0124,,
23,0.014,,
24,0.0136,,
25,0.0135,,
26,0.0142,,
27,0.0149,,
28,0.0139,,
29,0.0116,,
30,0.0119,,
31,0.013,,
32,0.0115,,
33,0.0112,,
34,0.0102,,
35,0.0101,,
36,0.0082,,
37,0.0091,,
38,0.0087,,
39,0.0082,,
40,0.0065,,
41,0.0043,,
42,0.006,,
43,0.0061,,
44,0.0052,,
45,0.0047,,
46,0.0043,,
47,0.0047,,
48,0.003,,
49,0.0023,,
50,0.0024,,
51,0.0025,,
52,0.0024,,
53,0.0018,,
54,0.002,,
55,0.0018,,
56,0.0016,,
57,0.0014,,
58,0.0011,,
59,5E-4,,
60,0.001,,
61,2E-4,,
62,4E-4,,
63,3E-4,,
64,2E-4,,
65,0,,
66,4E-4,,
67,3E-4,,
68,0,,
69,2E-4,,
70,2E-4,,
71,2E-4,,
72,1E-4,,
73,2E-4,,
74,0,,
