time_ps,kappa_avg
0.005,0
0.01,0.99797642
0.015,0.951118098
0.02,0.868306128
0.025,1.210579051
0.03,1.222027361
0.035,1.039918475
0.04,1.206860431
0.045,1.159163
0.05,0.824967109
0.055,1.04681396
0.06,1.443903954
0.065,1.184436804
0.07,1.02901603
0.075,1.574969154
0.08,1.820575164
0.085,1.465082496
0.09,1.427555311
0.095,1.621305377
0.1,1.495431372
0.105,1.536390592
0.11,1.773598554
0.115,1.461488935
0.12,1.084169548
0.125,1.439454684
0.13,1.719456828
0.135,1.350371235
0.14,1.285326778
0.145,1.708071624
0.15,1.702094064
0.155,1.475280063
0.16,1.612544333
0.165,1.609150584
0.17,1.374727319
0.175,1.537958585
0.18,1.663560321
0.185,1.167140509
0.19,0.967856918
0.195,1.500737201
0.2,1.696147287
0.205,1.380410797
0.21,1.434670744
0.215,1.644592032
0.22,1.492825829
0.225,1.500971045
0.23,1.698753418
0.235,1.454576002
0.24,1.221442035
0.245,1.548840336
0.25,1.61418014
0.255,1.15445505
0.26,1.178025163
0.265,1.653009631
0.27,1.641833803
0.275,1.399286511
0.28,1.504151623
0.285,1.513384034
0.29,1.404285232
0.295,1.691981354
0.3,1.854255767
0.305,1.439248418
0.31,1.312777744
0.315,1.730908283
0.32,1.750819196
0.325,1.443553081
0.33,1.610519005
0.335,1.867202565
0.34,1.736016709
0.345,1.737868803
0.35,1.91301265
0.355,1.773128006
0.36,1.726254592
0.365,2.057752657
0.37,1.983007312
0.375,1.493014353
0.38,1.548622519
0.385,1.947019408
0.39,1.877556533
0.395,1.737108222
0.4,1.941913352
0.405,1.986721489
0.41,1.886038454
0.415,2.090333978
0.42,2.178872593
0.425,1.892618266
0.43,1.949044338
0.435,2.279908114
0.44,2.067240481
0.445,1.691661685
0.45,1.903201817
0.455,2.172821408
0.46,2.038005721
0.465,2.00173407
0.47,2.065544297
0.475,1.883201976
0.48,1.914277887
0.485,2.282295628
0.49,2.239263028
0.495,1.903027382
0.5,2.059272335
0.505,2.334535429
0.51,2.108626634
0.515,1.94288684
0.52,2.153150078
0.525,2.162590181
0.53,2.011003469
0.535,2.106336729
0.54,2.090798157
0.545,1.895776787
0.55,2.107847094
0.555,2.433223299
0.56,2.161526618
0.565,1.817963449
0.57,2.006650243
0.575,2.138604765
0.58,1.946438229
0.585,1.953221842
0.59,2.06036648
0.595,1.924766869
0.6,1.958089208
0.605,2.213390058
0.61,2.113729848
0.615,1.926889406
0.62,2.19908597
0.625,2.359913803
0.63,1.990236443
0.635,1.81235362
0.64,2.038853711
0.645,2.079691361
0.65,2.000372893
0.655,2.112242539
0.66,2.058336212
0.665,1.881355601
0.67,2.111840489
0.675,2.371057661
0.68,2.139710853
0.685,2.001626417
0.69,2.292299778
0.695,2.336046185
0.7,2.056039526
0.705,2.064961256
0.71,2.208640557
0.715,2.132272205
0.72,2.178033371
0.725,2.313886833
0.73,2.129576906
0.735,2.042830964
0.74,2.454797673
0.745,2.665087129
0.75,2.371384584
0.755,2.294181269
0.76,2.49863865
0.765,2.441378974
0.77,2.326507889
0.775,2.442210687
0.78,2.403370442
0.785,2.26252217
0.79,2.435723798
0.795,2.566393775
0.8,2.351843253
0.805,2.393039621
0.81,2.771573501
0.815,2.760939326
0.82,2.449625882
0.825,2.460148716
0.83,2.585374308
0.835,2.51645777
0.84,2.559530053
0.845,2.618964125
0.85,2.379041378
0.855,2.274733208
0.86,2.555217476
0.865,2.589335103
0.87,2.313428866
0.875,2.386937702
0.88,2.642511951
0.885,2.531350224
0.89,2.372184392
0.895,2.470944518
0.9,2.471927278
0.905,2.411466826
0.91,2.54996454
0.915,2.508870853
0.92,2.189105268
0.925,2.232072177
0.93,2.586391845
0.935,2.55763985
0.94,2.332746434
0.945,2.431370836
0.95,2.534487875
0.955,2.413108936
0.96,2.430568249
0.965,2.500119342
0.97,2.343363813
0.975,2.315184645
0.98,2.519066063
0.985,2.429009962
0.99,2.194203891
0.995,2.39627721
1,2.695988461
1.005,2.574372456
1.01,2.410236873
1.015,2.476215199
1.02,2.460028644
1.025,2.44030486
1.03,2.606026124
1.035,2.587288754
1.04,2.351273478
1.045,2.430513788
1.05,2.666516389
1.055,2.543971052
1.06,2.399380673
1.065,2.60670462
1.07,2.725390169
1.075,2.576643138
1.08,2.55972929
1.085,2.629298903
1.09,2.584704487
1.095,2.694783348
1.1,2.888827404
1.105,2.718620599
1.11,2.484169735
1.115,2.677480936
1.12,2.888569409
1.125,2.739708506
1.13,2.652212298
1.135,2.76805662
1.14,2.746087782
1.145,2.697308426
1.15,2.802113299
1.155,2.767453676
1.16,2.635124569
1.165,2.777459455
1.17,2.90469686
1.175,2.66182636
1.18,2.523707627
1.185,2.771185675
1.19,2.896105906
1.195,2.767135692
1.2,2.740218333
1.205,2.745559836
1.21,2.658526155
1.215,2.748079953
1.22,2.90674946
1.225,2.76654756
1.23,2.63054204
1.235,2.812010788
1.24,2.881145147
1.245,2.668122908
1.25,2.654408574
1.255,2.84415021
1.26,2.838069986
1.265,2.74955988
1.27,2.763005872
1.275,2.692039633
1.28,2.649466151
1.285,2.866617902
1.29,2.957311834
1.295,2.696688677
1.3,2.593976059
1.305,2.795749655
1.31,2.827924132
1.315,2.696966373
1.32,2.736457452
1.325,2.781589007
1.33,2.699336999
1.335,2.738797435
1.34,2.799214903
1.345,2.662544735
1.35,2.642883367
1.355,2.85692132
1.36,2.829955733
1.365,2.557423289
1.37,2.566888719
1.375,2.779425479
1.38,2.805964137
1.385,2.774562655
1.39,2.810055113
1.395,2.729338307
1.4,2.687239477
1.405,2.866766677
1.41,2.915645099
1.415,2.724498574
1.42,2.735867477
1.425,2.92520824
1.43,2.857255476
1.435,2.699964259
1.44,2.788926202
1.445,2.903284281
1.45,2.87802244
1.455,2.902020737
1.46,2.885549015
1.465,2.736705153
1.47,2.788278046
1.475,3.040163718
1.48,3.026661629
1.485,2.824707609
1.49,2.87467154
1.495,3.012376054
1.5,2.95044858
1.505,2.912634273
1.51,2.992498129
1.515,2.969208445
1.52,2.946284695
1.525,3.042994814
1.53,3.002393375
1.535,2.866867798
1.54,3.000439425
1.545,3.197624539
1.55,3.056939095
1.555,2.855308882
1.56,2.917497637
1.565,3.005448382
1.57,2.996083698
1.575,3.045894397
1.58,3.032019236
1.585,2.900828565
1.59,2.946644705
1.595,3.117466983
1.6,3.04286191
1.605,2.89959523
1.61,3.012591073
1.615,3.096816965
1.62,2.935174896
1.625,2.841693968
1.63,2.919466361
1.635,2.942581016
1.64,2.964363758
1.645,3.02679789
1.65,2.917007493
1.655,2.769089485
1.66,2.907699973
1.665,3.080703303
1.67,2.963978413
1.675,2.847756872
1.68,2.937892455
1.685,2.962706635
1.69,2.883124894
1.695,2.909348355
1.7,2.936409323
1.705,2.888654585
1.71,2.951037969
1.715,3.020948616
1.72,2.880768076
1.725,2.808054938
1.73,3.009923595
1.735,3.117480284
1.74,2.962346482
1.745,2.874190145
1.75,2.92431445
1.755,2.931103694
1.76,2.971577189
1.765,3.052798067
1.77,2.985965638
1.775,2.906477322
1.78,3.03593754
1.785,3.119274381
1.79,2.993365193
1.795,2.982334106
1.8,3.149266477
1.805,3.156297302
1.81,3.023306213
1.815,3.003507218
1.82,3.033491872
1.825,3.055981445
1.83,3.170911841
1.835,3.215842278
1.84,3.044560171
1.845,2.976943241
1.85,3.152273134
1.855,3.219076594
1.86,3.100792033
1.865,3.090403996
1.87,3.159531021
1.875,3.120927903
1.88,3.094441356
1.885,3.132977031
1.89,3.101211115
1.895,3.097681176
1.9,3.212942584
1.905,3.195767973
1.91,3.020174785
1.915,3.033550004
1.92,3.220309473
1.925,3.23876117
1.93,3.12932554
1.935,3.101301253
1.94,3.086768629
1.945,3.065922425
1.95,3.137806612
1.955,3.161357296
1.96,3.051196625
1.965,3.052272364
1.97,3.181259552
1.975,3.154573055
1.98,3.039353229
1.985,3.11073909
1.99,3.231409388
1.995,3.190377057
2,3.109646359
2.005,3.069127578
2.01,3.018882464
2.015,3.067453603
2.02,3.209003803
2.025,3.176962887
2.03,3.016007504
2.035,3.041114896
2.04,3.173988845
2.045,3.149502491
2.05,3.087211616
2.055,3.132735495
2.06,3.14436852
2.065,3.095283231
2.07,3.099661758
2.075,3.080751854
2.08,3.024471076
2.085,3.106935269
2.09,3.224725593
2.095,3.128681589
2.1,2.988399321
2.105,3.070756071
2.11,3.203634348
2.115,3.198465772
2.12,3.168451134
2.125,3.154030785
2.13,3.103004705
2.135,3.123299899
2.14,3.207930667
2.145,3.168829651
2.15,3.086807997
2.155,3.163726471
2.16,3.241784145
2.165,3.151150213
2.17,3.102692081
2.175,3.210427832
2.18,3.289382103
2.185,3.278937125
2.19,3.258635723
2.195,3.191533896
