time_ps,kappa1,kappa2,kappa3,kappa4,kappa5,kappa6,kappa7,kappa8,kappa9,kappa10,kappa11,kappa12,kappa13,kappa14,kappa15,kappa16,kappa17,kappa18,kappa19,kappa20,kappa21,kappa22,kappa23,kappa24,kappa25,kappa26,kappa27,kappa28,kappa29,kappa30,kappa31,kappa32,kappa33,kappa34,kappa35,kappa36,kappa37,kappa38,kappa39,kappa40,kappa41,kappa42,kappa43,kappa44,kappa45,kappa46,kappa47,kappa48,kappa49,kappa50
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,1.019079,1.01167,1.006635,0.980572,1.021163,0.995262,1.005962,0.994452,0.986618,1.001097,0.96517,0.996262,0.996738,0.996529,0.999312,0.997493,0.995002,0.991442,1.004696,0.996541,0.987745,1.009075,0.990035,1.011883,1.000015,0.985327,0.97075,0.993546,0.999532,0.99039,1.014743,0.988571,1.016083,0.992737,1.000055,0.989427,0.997115,0.987904,1.003343,0.985327,0.99636,0.993073,1.021564,1.014745,1.021288,0.993778,1.005962,1.010594,1.005817,0.981449
0.015,0.947672,0.960444,0.957021,0.950344,0.951307,0.941428,0.935912,0.950857,0.95088,0.932474,0.933014,0.958867,0.949628,0.953868,0.94147,0.956846,0.977178,0.948756,0.944624,0.951907,0.948363,0.946551,0.950758,0.966487,0.949704,0.939832,0.949077,0.961513,0.955929,0.953433,0.949253,0.944078,0.94993,0.953573,0.946835,0.952855,0.949061,0.950429,0.96881,0.939832,0.93064,0.940936,0.961225,0.974042,0.959569,0.961597,0.935912,0.966452,0.950766,0.950522
0.02,0.848148,0.862858,0.87039,0.863961,0.865329,0.858043,0.849605,0.866466,0.885552,0.850956,0.863116,0.867813,0.863583,0.86624,0.852313,0.873489,0.901435,0.857443,0.857142,0.880681,0.874616,0.868138,0.872313,0.87009,0.85341,0.872496,0.891716,0.872793,0.876458,0.88458,0.870831,0.864483,0.862596,0.860459,0.868724,0.884,0.864341,0.877402,0.871296,0.872496,0.846136,0.860215,0.871727,0.88231,0.861131,0.876666,0.849605,0.870719,0.8607,0.878141
0.025,1.208998,1.202058,1.210066,1.180917,1.2378,1.208156,1.210176,1.200499,1.226563,1.217893,1.190405,1.193411,1.203913,1.200149,1.196247,1.214021,1.222818,1.18801,1.209497,1.234456,1.211513,1.226286,1.206389,1.206326,1.189511,1.22279,1.225006,1.194994,1.226429,1.228156,1.243657,1.200023,1.22919,1.187199,1.219122,1.227735,1.207391,1.216584,1.191536,1.22279,1.206191,1.208322,1.229899,1.213584,1.212791,1.196328,1.210176,1.201999,1.206686,1.202716
0.03,1.22802,1.226549,1.210975,1.205181,1.24397,1.222744,1.207478,1.212207,1.223594,1.223602,1.200371,1.218009,1.222402,1.216417,1.201651,1.239493,1.242849,1.214908,1.217409,1.243648,1.212824,1.209632,1.215564,1.234138,1.215321,1.220171,1.23296,1.22147,1.249852,1.231014,1.246468,1.202231,1.240659,1.218634,1.215333,1.235756,1.223915,1.226541,1.221586,1.220171,1.216605,1.216732,1.24123,1.227488,1.232114,1.204898,1.207478,1.223891,1.22003,1.201178
0.035,1.04066,1.053952,1.018702,1.045046,1.045002,1.040213,1.009197,1.036857,1.033067,1.028621,1.02888,1.0508,1.047641,1.03561,1.011383,1.06629,1.073906,1.047733,1.029741,1.059069,1.025771,0.999819,1.037909,1.063296,1.043634,1.023248,1.057973,1.059173,1.071094,1.041429,1.045572,1.020013,1.049229,1.052413,1.016126,1.05181,1.044077,1.045363,1.055662,1.023248,1.024958,1.026564,1.053738,1.054369,1.050237,1.033402,1.009197,1.057681,1.034266,1.023025
0.04,1.215121,1.214057,1.185948,1.192839,1.233529,1.210908,1.20276,1.205915,1.205688,1.216916,1.192861,1.200285,1.21432,1.182013,1.17814,1.218104,1.216028,1.197259,1.209807,1.236578,1.195819,1.192979,1.207277,1.215477,1.196774,1.19491,1.224211,1.2054,1.229277,1.207677,1.235961,1.19771,1.234479,1.18893,1.191729,1.218387,1.206709,1.209784,1.187218,1.19491,1.201249,1.188707,1.234946,1.221673,1.221941,1.197004,1.20276,1.223985,1.197263,1.197061
0.045,1.163876,1.155795,1.135321,1.137263,1.194023,1.165817,1.1698,1.160043,1.168122,1.180002,1.153889,1.143312,1.166834,1.118422,1.1284,1.160465,1.155701,1.136568,1.166993,1.197985,1.15645,1.15876,1.165848,1.152851,1.136317,1.155644,1.189422,1.143933,1.177896,1.16686,1.199545,1.162402,1.193146,1.118864,1.151095,1.175231,1.156981,1.166157,1.111231,1.155644,1.158469,1.136355,1.18692,1.166694,1.168415,1.149519,1.1698,1.171155,1.141651,1.160976
0.05,0.816022,0.823064,0.789646,0.828918,0.838826,0.832975,0.811601,0.828099,0.83104,0.82506,0.837969,0.828887,0.837459,0.791347,0.788104,0.841046,0.84173,0.815877,0.81931,0.862194,0.822717,0.790564,0.836846,0.824006,0.813205,0.816414,0.873761,0.830827,0.854271,0.838488,0.841657,0.829724,0.841447,0.803225,0.804437,0.844154,0.829202,0.840831,0.796094,0.816414,0.817272,0.798096,0.833841,0.823195,0.82342,0.822187,0.811601,0.841965,0.799917,0.830462
