time_ps,kappa_avg
0.005,0
0.01,1.11960708
0.015,1.111150029
0.02,1.060715321
0.025,1.411619222
0.03,1.434279038
0.035,1.220777996
0.04,1.391091059
0.045,1.325233893
0.05,1.022218658
0.055,1.296193788
0.06,1.71900957
0.065,1.437246051
0.07,1.257533381
0.075,1.787220897
0.08,1.978247191
0.085,1.618088104
0.09,1.565936913
0.095,1.751801153
0.1,1.633279802
0.105,1.749033517
0.11,1.973319509
0.115,1.607058354
0.12,1.262887399
0.125,1.671503549
0.13,1.89623994
0.135,1.43944785
0.14,1.383268749
0.145,1.766931911
0.15,1.724880677
0.155,1.512813363
0.16,1.684356844
0.165,1.621495439
0.17,1.414081476
0.175,1.693392193
0.18,1.817509641
0.185,1.255930453
0.19,1.059537931
0.195,1.614495973
0.2,1.744816152
0.205,1.447563586
0.21,1.536426541
0.215,1.699955893
0.22,1.533245832
0.225,1.639122252
0.23,1.823142507
0.235,1.473129934
0.24,1.269053466
0.245,1.631237364
0.25,1.594599005
0.255,1.069352501
0.26,1.17208926
0.265,1.627395396
0.27,1.570423652
0.275,1.408001042
0.28,1.557241005
0.285,1.484410488
0.29,1.421955503
0.295,1.83912954
0.3,1.92332546
0.305,1.400309285
0.31,1.355364544
0.315,1.838774642
0.32,1.749698654
0.325,1.416809209
0.33,1.616204697
0.335,1.800659991
0.34,1.656592955
0.345,1.754500428
0.35,1.891795635
0.355,1.644019299
0.36,1.717414222
0.365,2.199137824
0.37,2.073193467
0.375,1.566186473
0.38,1.727390327
0.385,2.119945012
0.39,2.00855484
0.395,1.942500805
0.4,2.120742091
0.405,2.032030245
0.41,2.008401236
0.415,2.355988467
0.42,2.326000401
0.425,1.928955485
0.43,2.121864721
0.435,2.510797668
0.44,2.186142634
0.445,1.828015301
0.45,2.105767135
0.455,2.297714811
0.46,2.186394044
0.465,2.303499996
0.47,2.323578461
0.475,2.031805375
0.48,2.218783504
0.485,2.720753493
0.49,2.541112708
0.495,2.154584623
0.5,2.409799455
0.505,2.654180742
0.51,2.348931229
0.515,2.245977697
0.52,2.418003472
0.525,2.291542746
0.53,2.222254788
0.535,2.410375715
0.54,2.226446028
0.545,1.929324125
0.55,2.321016645
0.555,2.699683726
0.56,2.339388935
0.565,2.072142197
0.57,2.373563947
0.575,2.4592654
0.58,2.309643915
0.585,2.40688627
0.59,2.329948931
0.595,2.028354383
0.6,2.186139197
0.605,2.483797298
0.61,2.143798709
0.615,1.906387723
0.62,2.33384529
0.625,2.50340475
0.63,2.104052375
0.635,2.023640977
0.64,2.218185562
0.645,2.154408912
0.65,2.230797917
0.655,2.451318952
0.66,2.228894053
0.665,1.994017665
0.67,2.448884266
0.675,2.73537009
0.68,2.365595123
0.685,2.266106196
0.69,2.593058535
0.695,2.534223989
0.7,2.290732546
0.705,2.408331945
0.71,2.417041846
0.715,2.299264541
0.72,2.568549421
0.725,2.748896693
0.73,2.340384845
0.735,2.281158686
0.74,2.863786891
0.745,3.014832152
0.75,2.657450629
0.755,2.676580284
0.76,2.880923709
0.765,2.802217294
0.77,2.915990465
0.775,3.120808915
0.78,2.882471876
0.785,2.721798104
0.79,3.108854645
0.795,3.164682094
0.8,2.725763309
0.805,2.771791572
0.81,3.179560007
0.815,3.101566592
0.82,2.869840393
0.825,2.997261694
0.83,3.012970861
0.835,2.995297468
0.84,3.308312325
0.845,3.377074789
0.85,2.925792735
0.855,2.897237837
0.86,3.339778538
0.865,3.270445881
0.87,2.932126252
0.875,3.078404503
0.88,3.273826409
0.885,3.110560677
0.89,3.122926488
0.895,3.188248072
0.9,2.936015062
0.905,2.925685236
0.91,3.301658086
0.915,3.16645482
0.92,2.682287677
0.925,2.861597552
0.93,3.302553523
0.935,3.213982349
0.94,3.050787822
0.945,3.169576848
0.95,3.078399939
0.955,2.977871392
0.96,3.215930879
0.965,3.200008748
0.97,2.833047704
0.975,2.94750217
0.98,3.317905905
0.985,3.082075092
0.99,2.767788496
0.995,3.019659603
1,3.22044376
1.005,3.036030795
1.01,2.995372819
1.015,2.979899533
1.02,2.773643786
1.025,2.938592035
1.03,3.36147814
1.035,3.205347689
1.04,2.847329786
1.045,3.120220462
1.05,3.431740794
1.055,3.216953311
1.06,3.104657998
1.065,3.278451063
1.07,3.208974196
1.075,3.132741909
1.08,3.304313623
1.085,3.193172333
1.09,2.951703907
1.095,3.273562957
1.1,3.626247895
1.105,3.307852331
1.11,3.067835438
1.115,3.400902098
1.12,3.596160446
1.125,3.495158869
1.13,3.585476216
1.135,3.618076288
1.14,3.439430195
1.145,3.605237692
1.15,3.875984503
1.155,3.61166767
1.16,3.38188292
1.165,3.739697263
1.17,3.903991
1.175,3.554605181
1.18,3.496692042
1.185,3.765660174
1.19,3.805739386
1.195,3.836841857
1.2,3.974371898
1.205,3.75151697
1.21,3.536360066
1.215,3.904457778
1.22,4.161488165
1.225,3.813447487
1.23,3.680304009
1.235,4.019657265
1.24,4.056739223
1.245,3.876828441
1.25,3.973896485
1.255,4.006954531
1.26,3.85117471
1.265,3.966379263
1.27,4.045180934
1.275,3.674965669
1.28,3.577859943
1.285,4.023190933
1.29,4.09992461
1.295,3.70211371
1.3,3.671107889
1.305,3.881965172
1.31,3.859920348
1.315,3.902009561
1.32,4.023723319
1.325,3.809560847
1.33,3.678145764
1.335,4.012408223
1.34,4.056349253
1.345,3.639392546
1.35,3.62651492
1.355,3.959975173
1.36,3.840063517
1.365,3.565421121
1.37,3.638811929
1.375,3.696183992
1.38,3.683959278
1.385,3.939441455
1.39,4.01437112
1.395,3.648766651
1.4,3.657953692
1.405,4.095967444
1.41,4.07614777
1.415,3.727093504
1.42,3.812916025
1.425,3.994519659
1.43,3.860811015
1.435,3.850763977
1.44,3.971623669
1.445,3.856054411
1.45,3.883570975
1.455,4.205110997
1.46,4.094227598
1.465,3.691367632
1.47,3.853069851
1.475,4.277541162
1.48,4.185075641
1.485,3.990601503
1.49,4.110637835
1.495,4.151359368
1.5,4.161356833
1.505,4.402330252
1.51,4.415833545
1.515,4.104993587
1.52,4.212467033
1.525,4.563820743
1.53,4.405593001
1.535,4.140510073
1.54,4.397429044
1.545,4.618539656
1.55,4.449212237
1.555,4.384529233
1.56,4.402361744
1.565,4.26642855
1.57,4.377054566
1.575,4.699850574
1.58,4.538123586
1.585,4.220405164
1.59,4.49037401
1.595,4.841816244
1.6,4.674235244
1.605,4.543836612
1.61,4.704909535
1.615,4.66873669
1.62,4.554853935
1.625,4.637905516
1.63,4.538736229
1.635,4.318091018
1.64,4.561228705
1.645,4.838857671
1.65,4.531314022
1.655,4.273688627
1.66,4.576347574
1.665,4.775431243
1.67,4.622353787
1.675,4.601915538
1.68,4.605639718
1.685,4.46076339
1.69,4.578299721
1.695,4.823178954
1.7,4.612177364
1.705,4.384552122
1.71,4.663127049
1.715,4.800153669
1.72,4.458282254
1.725,4.343925445
1.73,4.569755125
1.735,4.582480008
1.74,4.510124827
1.745,4.558266506
1.75,4.409809306
1.755,4.278392363
1.76,4.607794606
1.765,4.817430707
1.77,4.465929177
1.775,4.29483128
1.78,4.598932767
1.785,4.689697957
1.79,4.531400201
1.795,4.608660091
1.8,4.691063263
1.805,4.605533999
1.81,4.713615252
1.815,4.807404871
1.82,4.523030733
1.825,4.43286824
1.83,4.814484167
1.835,4.885501888
1.84,4.526042298
1.845,4.514439408
1.85,4.807266492
1.855,4.867135046
1.86,4.891761974
1.865,5.002320954
1.87,4.869741929
1.875,4.783010433
1.88,5.075121916
1.885,5.162042191
1.89,4.835479227
1.895,4.842800802
1.9,5.18994826
1.905,5.142622509
1.91,4.89154201
1.915,4.961672295
1.92,5.076568974
1.925,5.070357245
1.93,5.208670657
1.935,5.221254176
1.94,4.924961938
1.945,4.957562224
1.95,5.387039908
1.955,5.41186245
1.96,5.100101828
1.965,5.158427004
1.97,5.360656111
1.975,5.277584911
1.98,5.237939309
1.985,5.324708125
1.99,5.218393405
1.995,5.196529624
2,5.419752371
2.005,5.327453191
2.01,4.989092793
2.015,5.131393551
2.02,5.485959407
2.025,5.345628257
2.03,5.075893023
2.035,5.141967919
2.04,5.213047708
2.045,5.204678889
2.05,5.360514633
2.055,5.348739581
2.06,5.083045034
2.065,5.16383165
2.07,5.465882763
2.075,5.304730973
2.08,5.00362786
2.085,5.170938685
2.09,5.352275862
2.095,5.174789805
2.1,5.07478197
2.105,5.128832416
2.11,5.07189255
2.115,5.166082274
2.12,5.397615805
2.125,5.221142223
2.13,4.899673592
2.135,5.100814971
2.14,5.413294988
2.145,5.254170102
2.15,5.104783159
2.155,5.267050803
2.16,5.310686355
2.165,5.244473184
2.17,5.335953518
2.175,5.297352055
2.18,5.129763536
2.185,5.29920858
2.19,5.500094338
2.195,5.219675685
2.2,4.997752585
2.205,5.306860823
2.21,5.529735216
2.215,5.379134749
2.22,5.316466794
2.225,5.351997267
2.23,5.293091499
2.235,5.422316917
2.24,5.639604708
2.245,5.474733807
2.25,5.297359737
2.255,5.584291377
2.26,5.781739579
2.265,5.534493482
2.27,5.464722586
2.275,5.703858394
2.28,5.734610539
2.285,5.628676377
2.29,5.648844851
2.295,5.562172983
2.3,5.485729622
2.305,5.779297881
