time_ps,kappa1,kappa2,kappa3,kappa4,kappa5,kappa6,kappa7,kappa8,kappa9,kappa10,kappa11,kappa12,kappa13,kappa14,kappa15,kappa16,kappa17,kappa18,kappa19,kappa20,kappa21,kappa22,kappa23,kappa24,kappa25,kappa26,kappa27,kappa28,kappa29,kappa30,kappa31,kappa32,kappa33,kappa34,kappa35,kappa36,kappa37,kappa38,kappa39,kappa40,kappa41,kappa42,kappa43,kappa44,kappa45,kappa46,kappa47,kappa48,kappa49,kappa50
0.005,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
0.01,1.135278 ,1.144580 ,1.105988 ,1.137726 ,1.104407 ,1.148140 ,1.119322 ,1.093390 ,1.150997 ,1.109298 ,1.110089 ,1.104610 ,1.121950 ,1.092039 ,1.119815 ,1.145029 ,1.088419 ,1.138702 ,1.102820 ,1.143399 ,1.118360 ,1.108014 ,1.126235 ,1.112416 ,1.110866 ,1.090587 ,1.111541 ,1.132182 ,1.106549 ,1.114895 ,1.101745 ,1.166691 ,1.102394 ,1.154466 ,1.102434 ,1.142102 ,1.127218 ,1.121613 ,1.077689 ,1.090587 ,1.141466 ,1.114580 ,1.101827 ,1.124057 ,1.113868 ,1.122538 ,1.119322 ,1.165025 ,1.113770 ,1.129321 
0.015,1.102217 ,1.105718 ,1.139898 ,1.125902 ,1.126413 ,1.121466 ,1.094254 ,1.079977 ,1.097766 ,1.095796 ,1.105547 ,1.120690 ,1.098301 ,1.104921 ,1.116720 ,1.117925 ,1.094570 ,1.121316 ,1.097186 ,1.102043 ,1.135789 ,1.104715 ,1.091815 ,1.109394 ,1.108921 ,1.096388 ,1.105493 ,1.104490 ,1.112985 ,1.129481 ,1.095769 ,1.141632 ,1.134402 ,1.091970 ,1.118349 ,1.101215 ,1.122571 ,1.108771 ,1.128082 ,1.096388 ,1.126319 ,1.116966 ,1.107164 ,1.116078 ,1.103539 ,1.119797 ,1.094254 ,1.144046 ,1.107201 ,1.114892 
0.02,1.035263 ,1.041988 ,1.099155 ,1.074324 ,1.092303 ,1.059963 ,1.038826 ,1.042896 ,1.044233 ,1.060379 ,1.076253 ,1.092258 ,1.035532 ,1.070878 ,1.049606 ,1.029598 ,1.071007 ,1.077032 ,1.062146 ,1.033354 ,1.057615 ,1.088416 ,1.036849 ,1.054818 ,1.050135 ,1.083315 ,1.048858 ,1.060074 ,1.070081 ,1.076201 ,1.056118 ,1.042686 ,1.084117 ,1.024640 ,1.072132 ,1.048468 ,1.070032 ,1.060269 ,1.093637 ,1.083315 ,1.054878 ,1.034753 ,1.069669 ,1.066003 ,1.064233 ,1.053021 ,1.038826 ,1.065270 ,1.076816 ,1.063527 
0.025,1.402544 ,1.417387 ,1.414687 ,1.436844 ,1.419456 ,1.431483 ,1.397636 ,1.399563 ,1.443492 ,1.419115 ,1.438273 ,1.439040 ,1.388401 ,1.404982 ,1.381993 ,1.379189 ,1.414671 ,1.453188 ,1.418179 ,1.404204 ,1.359731 ,1.450636 ,1.413569 ,1.395368 ,1.381491 ,1.441475 ,1.390932 ,1.440511 ,1.407355 ,1.401177 ,1.410927 ,1.392104 ,1.390640 ,1.426454 ,1.389528 ,1.433365 ,1.412913 ,1.420839 ,1.385074 ,1.441475 ,1.403203 ,1.348946 ,1.419236 ,1.425358 ,1.417820 ,1.394609 ,1.397636 ,1.421138 ,1.437067 ,1.426058 
0.03,1.436184 ,1.432653 ,1.449174 ,1.461529 ,1.437528 ,1.460908 ,1.412820 ,1.409840 ,1.439360 ,1.408395 ,1.442958 ,1.462047 ,1.414039 ,1.423368 ,1.430187 ,1.437274 ,1.409985 ,1.475671 ,1.432705 ,1.416882 ,1.419479 ,1.426249 ,1.436173 ,1.428841 ,1.411878 ,1.430499 ,1.426441 ,1.451918 ,1.425366 ,1.437136 ,1.433478 ,1.463726 ,1.430296 ,1.437428 ,1.403423 ,1.436843 ,1.427077 ,1.447000 ,1.417656 ,1.430499 ,1.444165 ,1.414331 ,1.449498 ,1.457141 ,1.420335 ,1.452490 ,1.412820 ,1.463347 ,1.436051 ,1.448860 
0.035,1.220792 ,1.203386 ,1.258938 ,1.242925 ,1.245094 ,1.236696 ,1.190526 ,1.189659 ,1.180189 ,1.170263 ,1.220924 ,1.252649 ,1.199285 ,1.214020 ,1.243851 ,1.244793 ,1.191302 ,1.260740 ,1.210350 ,1.186786 ,1.243972 ,1.179340 ,1.204154 ,1.224076 ,1.209139 ,1.194937 ,1.219854 ,1.213631 ,1.216879 ,1.243156 ,1.217014 ,1.279335 ,1.252290 ,1.185988 ,1.205872 ,1.182155 ,1.215118 ,1.227441 ,1.245266 ,1.194937 ,1.241486 ,1.248668 ,1.245482 ,1.248909 ,1.197274 ,1.258971 ,1.190526 ,1.256433 ,1.203467 ,1.229960 
0.04,1.394084 ,1.399737 ,1.396323 ,1.416587 ,1.431294 ,1.407018 ,1.373180 ,1.375824 ,1.386311 ,1.362667 ,1.420982 ,1.413083 ,1.371101 ,1.371619 ,1.398400 ,1.393284 ,1.387348 ,1.460941 ,1.384814 ,1.377469 ,1.351783 ,1.391746 ,1.378747 ,1.376581 ,1.361244 ,1.386414 ,1.368314 ,1.399310 ,1.379799 ,1.388354 ,1.378533 ,1.421194 ,1.394447 ,1.380989 ,1.376607 ,1.362002 ,1.399704 ,1.392107 ,1.387455 ,1.386414 ,1.397718 ,1.381592 ,1.409017 ,1.417247 ,1.391611 ,1.381702 ,1.373180 ,1.418331 ,1.399068 ,1.401278 
0.045,1.320995 ,1.342407 ,1.317832 ,1.352394 ,1.387385 ,1.328345 ,1.313860 ,1.329227 ,1.332245 ,1.314704 ,1.382179 ,1.349941 ,1.302803 ,1.307731 ,1.317038 ,1.299988 ,1.349882 ,1.408020 ,1.329593 ,1.313438 ,1.242056 ,1.362705 ,1.310446 ,1.302900 ,1.284344 ,1.349218 ,1.287981 ,1.338856 ,1.314475 ,1.307990 ,1.311010 ,1.315709 ,1.320544 ,1.314034 ,1.319025 ,1.288482 ,1.343127 ,1.319766 ,1.320375 ,1.349218 ,1.315731 ,1.290363 ,1.346767 ,1.350156 ,1.343279 ,1.276786 ,1.313860 ,1.331468 ,1.355621 ,1.335392 
0.05,1.013816 ,1.010145 ,1.049775 ,1.046383 ,1.101319 ,1.005643 ,0.999109 ,1.025334 ,0.979844 ,0.986420 ,1.066586 ,1.063143 ,0.999758 ,1.023253 ,1.034885 ,1.008390 ,1.039249 ,1.081109 ,1.030593 ,0.980266 ,0.986385 ,1.028024 ,0.994861 ,1.020613 ,0.998581 ,1.032266 ,1.003007 ,1.014141 ,1.019476 ,1.029148 ,1.017031 ,1.021196 ,1.057638 ,0.962442 ,1.026582 ,0.943865 ,1.033946 ,1.014456 ,1.060692 ,1.032266 ,1.021859 ,1.028085 ,1.060645 ,1.050789 ,1.023081 ,0.995575 ,0.999109 ,1.024959 ,1.037710 ,1.027486 
