# frequency	phase_space
-5.018200e-05	0.000000e+00
3.942894e-05	0.000000e+00
6.142949e-05	0.000000e+00
3.915692e-01	4.186974e+06
7.085108e-01	4.050758e+06
7.782891e-01	7.567159e+06
7.805142e-01	7.672485e+06
7.805376e-01	7.673444e+06
1.864328e+00	3.347556e+07
2.607809e+00	2.521988e+07
2.874482e+00	2.255166e+07
2.939305e+00	2.326169e+07
2.997645e+00	2.194539e+07
3.022195e+00	2.184134e+07
3.116907e+00	4.245001e+07
3.644207e+00	2.741899e+07
5.407058e+00	7.531004e+07
5.409375e+00	6.657939e+07
5.433471e+00	3.162116e+07
5.735624e+00	4.834675e+07
6.001931e+00	2.857588e+07
6.703586e+00	4.059009e+07
6.879156e+00	4.791909e+07
7.526316e+00	4.178094e+07
8.031987e+00	4.367494e+07
8.166193e+00	3.414913e+07
8.181143e+00	3.375476e+07
8.461557e+00	4.618081e+07
8.497368e+00	3.579206e+07
8.739461e+00	3.036466e+07
9.231848e+00	4.895581e+07
9.476746e+00	4.711135e+07
9.487902e+00	4.800670e+07
9.919179e+00	4.858779e+07
9.959223e+00	5.315160e+07
9.975746e+00	5.338558e+07
1.025872e+01	5.112415e+07
1.032603e+01	4.213237e+07
1.053515e+01	3.319631e+07
1.057880e+01	3.482691e+07
1.077771e+01	4.544387e+07
1.081097e+01	4.935615e+07
1.164425e+01	4.664785e+07
1.223724e+01	5.008956e+07
1.226580e+01	3.789397e+07
1.227367e+01	3.742038e+07
1.228736e+01	3.702103e+07
1.248970e+01	6.067338e+07
1.272689e+01	4.308291e+07
1.274611e+01	4.164956e+07
1.315540e+01	7.302666e+07
1.342911e+01	4.774158e+07
1.344164e+01	4.664369e+07
1.376427e+01	5.973862e+07
1.379740e+01	5.310135e+07
1.387204e+01	4.253548e+07
1.411390e+01	4.092038e+07
1.418314e+01	4.910825e+07
1.455626e+01	5.204968e+07
1.599178e+01	7.412426e+07
1.612304e+01	6.255192e+07
1.649404e+01	5.254168e+07
1.696565e+01	5.651643e+07
1.706526e+01	5.806377e+07
1.715981e+01	6.642113e+07
1.727177e+01	5.887796e+07
1.752845e+01	5.031193e+07
1.758573e+01	1.480150e+08
1.761320e+01	7.268230e+07
1.766178e+01	6.179263e+07
1.773954e+01	6.400321e+07
1.788282e+01	8.032679e+07
1.804861e+01	4.965014e+07
1.824520e+01	5.916172e+07
1.838468e+01	6.433100e+07
1.839098e+01	6.620152e+07
1.869153e+01	4.840518e+07
1.901365e+01	6.334735e+07
1.949609e+01	6.131861e+07
1.949778e+01	6.132311e+07
1.952347e+01	6.607945e+07
1.972532e+01	5.179527e+07
1.986704e+01	5.493330e+07
1.996821e+01	5.953304e+07
2.018967e+01	8.546809e+07
2.055056e+01	7.254467e+07
2.055390e+01	7.320231e+07
2.059496e+01	5.713351e+07
2.113384e+01	6.134622e+07
