# frequency	phase_space
-3.076396e-05	0.000000e+00
5.001415e-05	0.000000e+00
6.445843e-05	0.000000e+00
5.173688e-01	2.138142e+06
1.784242e+00	6.829529e+06
1.856810e+00	6.476150e+06
2.601908e+00	7.510125e+06
2.865921e+00	1.038397e+07
3.112741e+00	1.061898e+07
3.459159e+00	1.091107e+07
3.806601e+00	1.170384e+07
4.821745e+00	1.639357e+07
5.127676e+00	2.895679e+07
5.246904e+00	2.812369e+07
5.423939e+00	1.611498e+07
5.448159e+00	1.629574e+07
5.480447e+00	1.681426e+07
5.481124e+00	1.682103e+07
6.139102e+00	2.240769e+07
6.878399e+00	2.039461e+07
7.400395e+00	2.410976e+07
7.470027e+00	2.306753e+07
7.833753e+00	2.607772e+07
8.168380e+00	3.056910e+07
8.286963e+00	3.046757e+07
8.504016e+00	2.642407e+07
8.746744e+00	3.023188e+07
8.842034e+00	3.000630e+07
9.406151e+00	2.280625e+07
9.713843e+00	2.572978e+07
1.001908e+01	2.258684e+07
1.011315e+01	2.378639e+07
1.014500e+01	2.482005e+07
1.039044e+01	2.963665e+07
1.043577e+01	3.042806e+07
1.044248e+01	2.946970e+07
1.056201e+01	3.107441e+07
1.076727e+01	2.808298e+07
1.087023e+01	2.909874e+07
1.114707e+01	3.038012e+07
1.126761e+01	3.043892e+07
1.132806e+01	2.735035e+07
1.176284e+01	2.948257e+07
1.263458e+01	3.264921e+07
1.311013e+01	3.625796e+07
1.311019e+01	3.626170e+07
1.363788e+01	3.322612e+07
1.379006e+01	3.207121e+07
1.394705e+01	3.623138e+07
1.405654e+01	3.661437e+07
1.412337e+01	3.641298e+07
1.428381e+01	3.797344e+07
1.432992e+01	3.553002e+07
1.434191e+01	3.515048e+07
1.449480e+01	3.661311e+07
1.466483e+01	3.439457e+07
1.478739e+01	3.470293e+07
1.514767e+01	3.346323e+07
1.552467e+01	3.772341e+07
1.678645e+01	3.879127e+07
1.709561e+01	4.965453e+07
1.729584e+01	4.107663e+07
1.753391e+01	4.351296e+07
1.757135e+01	3.814797e+07
1.762837e+01	3.381419e+07
1.768309e+01	3.233088e+07
1.796311e+01	3.516552e+07
1.807713e+01	3.591806e+07
1.818682e+01	4.089880e+07
1.835633e+01	4.486397e+07
1.840013e+01	4.424547e+07
1.849471e+01	5.396221e+07
1.914652e+01	3.778362e+07
1.943679e+01	3.608078e+07
1.955224e+01	4.421482e+07
1.972264e+01	3.343570e+07
1.980701e+01	3.658328e+07
1.994941e+01	3.877891e+07
2.005274e+01	4.024899e+07
2.011318e+01	3.918509e+07
2.067383e+01	3.631416e+07
2.194587e+01	3.460444e+07
2.195951e+01	3.903023e+07
2.202278e+01	4.371983e+07
2.204875e+01	4.123102e+07
2.205650e+01	4.084186e+07
2.274640e+01	4.915592e+07
2.279508e+01	5.542509e+07
2.280182e+01	5.521718e+07
2.293853e+01	4.087056e+07
