Position(THz)	Width(THz)
3.079113	0.071596
1.326528	0.044776
1.415284	0.249788
0.905856	0.078329
1.326486	0.04376
1.472366	0.065915
1.474344	0.057018
1.479439	0.047835
1.923779	0.048585
2.771267	0.040936
2.865591	0.073378
2.985953	0.106814
3.079062	0.071316
3.292651	0.089549
3.23034	0.051589
4.028729	0.150195
5.064832	0.07705
5.257089	0.143007
5.340653	0.106746
5.628936	0.130373
6.191313	0.108085
6.808253	0.255809
6.762964	0.119223
7.908946	0.174158
7.823142	0.087167
8.14844	0.122809
8.088142	0.155144
8.170164	0.145538
8.513227	0.253975
8.797484	0.151435
8.870204	0.1635
9.397508	0.067987
9.646227	0.160548
9.91042	0.080817
9.941851	0.233577
9.877368	0.17433
10.255306	0.189465
10.421804	0.212294
11.255508	0.184547
11.46264	0.148416
11.598274	0.144956
11.883977	0.197677
12.372011	0.107226
12.370013	0.130205
12.366494	0.096726
12.381576	0.109698
12.590861	0.148696
12.602352	0.223509
12.930956	0.241938
13.06703	0.132071
13.253424	0.207404
13.524649	0.222315
13.666102	0.310317
13.935928	0.216519
14.07547	0.163626
15.797362	0.152496
15.880987	0.23771
16.386464	0.238925
16.734271	0.290587
16.900168	0.111556
17.031923	0.118208
16.979935	0.217453
17.13396	0.073567
17.140228	0.190588
17.335011	0.077475
17.277161	0.545686
17.411242	0.080022
17.285675	0.383518
17.741363	0.076129
17.928068	0.06524
17.884476	0.659738
18.066083	0.079937
18.377091	0.058889
18.797875	0.426916
19.025744	0.072479
19.156989	0.293121
19.340334	0.250697
19.475609	0.214285
19.451869	0.274698
19.54106	0.288656
19.773517	0.379014
20.338481	0.303606
20.391171	0.208107
20.662541	0.152035
20.636318	0.205409
21.819492	0.132947
21.894019	0.118298
21.987144	0.122893
22.054465	0.397624
22.127473	0.382511
22.173696	0.288804
22.155145	0.407665
22.921545	0.060781
22.923189	0.07935
23.233509	0.019994
23.28067	0.026627
24.333716	0.047241
24.482377	0.039184
24.87936	0.075822
24.90306	0.318419
24.965116	0.425555
25.793741	0.23977
25.798246	0.244761
25.804749	0.204044
25.789447	0.272636
26.279014	0.069186
26.52226	0.054952
26.790731	0.294195
26.810559	0.271187
26.779536	0.294878
26.821581	0.260273
27.202809	0.119895
27.214027	0.095466
27.375526	0.059635
27.381281	0.086573
27.502713	0.095412
27.599959	0.067602
27.627505	0.133894
27.802087	0.08708
28.359366	0.467574
28.765576	0.166513
29.175482	0.037842
29.210587	0.059708
29.20715	0.212854
30.221496	0.081668
30.334915	0.08206
30.419534	0.088715
30.549377	0.096376
31.108313	0.094512
31.315733	0.074331
32.110166	0.213581
32.047098	0.369753
32.032858	0.375299
32.05383	0.323348
32.035347	0.392693
32.383254	0.125735
32.341277	0.362859
32.33371	0.409797
32.328931	0.415231
32.324246	0.407065
35.021676	0.299591
35.031662	0.304984
35.042734	0.308735
35.058292	0.323802
35.629493	0.239122
35.633815	0.243004
35.854981	0.19606
35.902445	0.138452
39.289953	0.263567
39.283911	0.242568
39.318949	0.225451
39.342436	0.208216
42.044344	0.403752
42.054838	0.43116
42.121593	0.39585
42.156331	0.409165
44.395368	0.29922
44.395157	0.264015
44.410371	0.242359
44.428983	0.266537
48.968784	0.062463
48.966692	0.059802
48.992381	0.069248
49.004765	0.083505
49.173244	0.177658
49.169769	0.175349
49.196986	0.159275
49.212214	0.14409
46.012762	0.167843
46.000179	0.168362
45.978878	0.161286
45.974653	0.156843
45.481443	0.086473
45.471263	0.071385
45.432249	0.087465
45.422164	0.075205
44.439807	0.125911
44.427673	0.150277
44.415471	0.143475
44.411772	0.147105
43.496287	0.183164
43.494406	0.192419
43.49019	0.18343
43.484527	0.223542
41.619997	0.228298
41.607131	0.227364
41.60449	0.246844
41.590587	0.23037
38.648892	0.089198
38.697844	0.100058
38.692656	0.10463
38.671559	0.104103
38.689834	0.103042
38.658014	0.119535
38.564835	0.070234
38.526828	0.050547
38.270208	0.09858
38.251165	0.102742
38.184285	0.083693
38.163963	0.082141
7.63604	0.113336
7.634538	0.123495
7.628961	0.094669
7.629063	0.118279
7.606687	0.21041
7.593857	0.187208
7.592677	0.219866
7.597481	0.211398
7.604578	0.127298
7.615874	0.11548
7.609675	0.150164
7.61594	0.122395
7.483293	0.132378
7.482745	0.127008
7.496237	0.114759
