Position(THz)	Width(THz)
0.722922	0.052651
1.185091	0.062874
1.235544	0.045619
1.529674	0.036095
1.770082	0.040382
2.536709	0.073675
2.7075	0.061505
2.80556	0.050562
3.111427	0.091474
3.839708	0.042499
4.616398	0.046814
4.738567	0.047728
5.213907	0.043789
5.377806	0.036223
5.398253	0.046171
5.465988	0.044005
6.212056	0.049709
6.474276	0.041103
6.819588	0.040948
6.927732	0.038978
8.407875	0.077384
8.545866	0.062478
8.676953	0.04528
8.694817	0.069767
8.878604	0.048652
9.04464	0.063279
9.535006	0.052375
9.718888	0.044019
9.723362	0.066049
9.98333	0.078231
10.622821	0.053443
10.612905	0.058249
10.615108	0.064219
10.733372	0.04873
11.556282	0.097708
11.643891	0.075125
11.659741	0.070491
11.824081	0.061481
11.826421	0.058501
12.87447	0.040723
12.899676	0.114211
13.754137	0.065258
14.041581	0.08358
14.083103	0.062604
14.153671	0.120755
14.380369	0.046514
14.653306	0.082701
14.824298	0.067498
15.957764	0.067066
16.033546	0.089853
16.230981	0.060536
16.684526	0.053476
16.947641	0.053476
17.220456	0.047436
17.34698	0.053451
17.434108	0.058774
17.779221	0.03558
17.920093	0.086982
18.072809	0.092943
18.257069	0.061045
18.772926	0.062255
18.830447	0.074791
19.036211	0.070533
19.861507	0.058247
20.163766	0.058068
20.213431	0.085732
21.319494	0.064466
21.377427	0.058717
21.585858	0.066008
21.619662	0.084958
21.949645	0.103225
22.02918	0.073208
22.697375	0.09558
22.989618	0.067094
22.997998	0.068571
22.911219	0.130772
22.932813	0.121417
22.944321	0.119151
22.938932	0.131178
23.112229	0.046197
23.275817	0.039728
23.576039	0.091478
23.585536	0.126371
23.709794	0.122675
23.976033	0.036653
24.073944	0.092518
24.856604	0.064797
25.526583	0.059744
25.605693	0.068212
25.923406	0.058558
26.409282	0.052868
26.966942	0.069512
26.976151	0.050796
27.066192	0.059869
27.309891	0.070087
27.472375	0.054284
27.456459	0.063769
27.65035	0.079041
28.079153	0.043138
28.479902	0.064188
28.568078	0.064078
28.856632	0.089129
28.803064	0.113957
28.984465	0.049432
29.229421	0.036672
29.095938	0.122243
29.419666	0.064761
29.56687	0.08549
29.428584	0.29726
29.499346	0.243046
29.508766	0.243526
29.526581	0.264599
30.260599	0.084283
30.390204	0.087946
30.404167	0.090738
30.512135	0.095671
31.165184	0.051136
31.303316	0.08842
32.164496	0.059456
32.337744	0.063043
34.366055	0.290403
34.456087	0.295455
34.489848	0.203899
34.464069	0.275223
35.225314	0.154279
35.217207	0.13027
35.235531	0.13983
35.241006	0.113652
35.230132	0.06664
35.478043	0.065334
35.536529	0.082476
35.527961	0.072346
35.733896	0.08494
35.727555	0.102542
35.872628	0.058778
35.884478	0.064267
36.812555	0.113405
37.015218	0.115128
37.058066	0.123083
37.080472	0.118921
39.352341	0.205943
39.368555	0.234135
39.385125	0.193614
39.378307	0.201251
42.079684	0.063241
42.081951	0.075822
42.137259	0.070244
42.145958	0.071618
44.509915	0.161054
44.520022	0.142895
44.522843	0.172118
44.524462	0.148246
49.035945	0.052514
49.040905	0.060843
49.063984	0.073165
49.073448	0.054253
49.213873	0.133839
49.21234	0.124473
49.244045	0.129097
49.259208	0.110214
45.914652	0.110359
45.934126	0.1365
45.906866	0.106428
45.895678	0.123878
45.426317	0.067703
45.428658	0.05795
45.406061	0.089327
45.38891	0.071139
44.774448	0.222499
44.723049	0.19186
44.721347	0.178088
44.715587	0.174713
44.429356	0.243573
44.376263	0.219337
44.360839	0.196188
44.352394	0.216189
44.345401	0.11978
44.33845	0.141159
44.327211	0.125441
44.318944	0.115762
43.409631	0.194304
43.419441	0.203271
43.414853	0.178258
43.409667	0.211428
41.493287	0.147612
41.503649	0.180771
41.493466	0.149072
41.48908	0.176086
38.617591	0.079465
38.612258	0.091324
38.600552	0.087744
38.602099	0.085858
38.501967	0.097013
38.503396	0.065596
38.447316	0.086198
38.428507	0.088048
38.119454	0.073367
38.121016	0.057122
38.073696	0.085964
38.0392	0.120418
7.60957	0.108254
7.605465	0.128196
7.601255	0.131583
7.605854	0.144065
7.53672	0.22685
7.53731	0.178143
7.543554	0.180253
7.526213	0.21792
7.489884	0.119427
7.498597	0.130428
7.495391	0.120375
7.501365	0.137956
7.401555	0.162108
7.390527	0.176021
7.401727	0.173567
