# Frequency(THz) PDOS
0.159155 0.000673
0.318310 0.000775
0.477465 0.001015
0.636620 0.001397
0.795775 0.001822
0.954930 0.002120
1.114085 0.002181
1.273240 0.002083
1.432394 0.002118
1.591549 0.002642
1.750704 0.003823
1.909859 0.005461
2.069014 0.007074
2.228169 0.008318
2.387324 0.009567
2.546479 0.012293
2.705634 0.018858
2.864789 0.031615
3.023944 0.051590
3.183099 0.077367
3.342254 0.104849
3.501409 0.128200
3.660564 0.141733
3.819719 0.141951
3.978874 0.128855
4.138029 0.105901
4.297183 0.078666
4.456338 0.052832
4.615493 0.032422
4.774648 0.018941
4.933803 0.011640
5.092958 0.008520
5.252113 0.007472
5.411268 0.007032
5.570423 0.006558
5.729578 0.005979
5.888733 0.005419
6.047888 0.004948
6.207043 0.004535
6.366198 0.004120
6.525353 0.003683
6.684508 0.003264
6.843663 0.002923
7.002817 0.002709
7.161972 0.002646
7.321127 0.002728
7.480282 0.002911
7.639437 0.003114
7.798592 0.003254
7.957747 0.003312
8.116902 0.003393
8.276057 0.003705
8.435212 0.004422
8.594367 0.005517
8.753522 0.006709
8.912677 0.007651
9.071832 0.008337
9.230987 0.009491
9.390142 0.012626
9.549297 0.019564
9.708452 0.031502
9.867606 0.048064
10.026761 0.066853
10.185916 0.083900
10.345071 0.094922
10.504226 0.096894
10.663381 0.089219
10.822536 0.073949
10.981691 0.054964
11.140846 0.036537
11.300001 0.021929
11.459156 0.012603
11.618311 0.008266
11.777466 0.007521
11.936621 0.008703
12.095776 0.010482
12.254931 0.012069
12.414086 0.013106
12.573241 0.013464
12.732395 0.013107
12.891550 0.012075
13.050705 0.010527
13.209860 0.008733
13.369015 0.007012
13.528170 0.005628
13.687325 0.004710
13.846480 0.004231
14.005635 0.004029
14.164790 0.003856
14.323945 0.003460
14.483100 0.002700
14.642255 0.001707
14.801410 0.000993
14.960565 0.001424
15.119720 0.003956
15.278875 0.009178
15.438029 0.016862
15.597184 0.025755
15.756339 0.033824
15.915494 0.038903
16.074649 0.039505
16.233804 0.035417
16.392959 0.027795
16.552114 0.018700
16.711269 0.010301
16.870424 0.004126
17.029579 0.000668
17.188734 -0.000524
17.347889 -0.000403
17.507044 0.000095
17.666199 0.000403
17.825354 0.000391
17.984509 0.000204
18.143664 0.000043
18.302818 0.000004
18.461973 0.000062
18.621128 0.000132
18.780283 0.000153
18.939438 0.000126
19.098593 0.000090
19.257748 0.000083
19.416903 0.000109
19.576058 0.000145
19.735213 0.000165
19.894368 0.000156
20.053523 0.000130
20.212678 0.000106
20.371833 0.000096
20.530988 0.000101
20.690143 0.000113
20.849298 0.000123
21.008452 0.000131
21.167607 0.000136
21.326762 0.000140
21.485917 0.000140
21.645072 0.000132
21.804227 0.000113
21.963382 0.000089
22.122537 0.000065
22.281692 0.000051
22.440847 0.000049
22.600002 0.000055
22.759157 0.000064
22.918312 0.000068
23.077467 0.000065
23.236622 0.000058
23.395777 0.000049
23.554932 0.000043
23.714087 0.000040
23.873241 0.000038
24.032396 0.000035
24.191551 0.000032
24.350706 0.000030
24.509861 0.000030
24.669016 0.000033
24.828171 0.000036
24.987326 0.000037
25.146481 0.000035
25.305636 0.000032
25.464791 0.000032
25.623946 0.000036
25.783101 0.000043
25.942256 0.000048
26.101411 0.000048
26.260566 0.000045
26.419721 0.000044
26.578875 0.000050
26.738030 0.000063
26.897185 0.000079
27.056340 0.000092
27.215495 0.000099
27.374650 0.000104
27.533805 0.000112
27.692960 0.000123
27.852115 0.000130
28.011270 0.000123
28.170425 0.000099
28.329580 0.000068
28.488735 0.000048
28.647890 0.000050
28.807045 0.000070
28.966200 0.000091
29.125355 0.000095
29.284510 0.000085
29.443664 0.000082
29.602819 0.000107
29.761974 0.000161
29.921129 0.000216
30.080284 0.000234
30.239439 0.000203
30.398594 0.000157
30.557749 0.000148
30.716904 0.000205
30.876059 0.000285
31.035214 0.000302
31.194369 0.000200
31.353524 0.000030
31.512679 -0.000053
31.671834 0.000097
31.830989 0.000446
31.990144 0.000713
