# Frequency(THz) PDOS
0.000000 -0.007141
0.159155 0.000420
0.318310 0.024293
0.477465 0.066442
0.636620 0.125910
0.795775 0.195638
0.954930 0.262300
1.114085 0.309895
1.273240 0.325621
1.432394 0.305101
1.591549 0.254273
1.750704 0.186993
1.909859 0.119607
2.069014 0.065126
2.228169 0.029608
2.387324 0.011934
2.546479 0.006405
2.705634 0.006372
2.864789 0.007046
3.023944 0.006482
3.183099 0.004915
3.342254 0.003371
3.501409 0.002536
3.660564 0.002394
3.819719 0.002503
3.978874 0.002468
4.138029 0.002213
4.297183 0.001918
4.456338 0.001795
4.615493 0.001903
4.774648 0.002143
4.933803 0.002366
5.092958 0.002499
5.252113 0.002572
5.411268 0.002660
5.570423 0.002811
5.729578 0.003014
5.888733 0.003223
6.047888 0.003404
6.207043 0.003551
6.366198 0.003674
6.525353 0.003777
6.684508 0.003867
6.843663 0.003979
7.002817 0.004206
7.161972 0.004683
7.321127 0.005523
7.480282 0.006734
7.639437 0.008173
7.798592 0.009566
7.957747 0.010602
8.116902 0.011047
8.276057 0.010824
8.435212 0.010036
8.594367 0.008903
8.753522 0.007679
8.912677 0.006565
9.071832 0.005660
9.230987 0.004968
9.390142 0.004425
9.549297 0.003955
9.708452 0.003505
9.867606 0.003066
10.026761 0.002660
10.185916 0.002324
10.345071 0.002086
10.504226 0.001950
10.663381 0.001897
10.822536 0.001896
10.981691 0.001917
11.140846 0.001941
11.300001 0.001962
11.459156 0.001974
11.618311 0.001973
11.777466 0.001951
11.936621 0.001902
12.095776 0.001827
12.254931 0.001743
12.414086 0.001673
12.573241 0.001641
12.732395 0.001662
12.891550 0.001733
13.050705 0.001831
13.209860 0.001920
13.369015 0.001961
13.528170 0.001924
13.687325 0.001802
13.846480 0.001609
14.005635 0.001386
14.164790 0.001184
14.323945 0.001053
14.483100 0.001029
14.642255 0.001124
14.801410 0.001326
14.960565 0.001604
15.119720 0.001915
15.278875 0.002210
15.438029 0.002447
15.597184 0.002596
15.756339 0.002644
15.915494 0.002599
16.074649 0.002484
16.233804 0.002333
16.392959 0.002180
16.552114 0.002057
16.711269 0.001987
16.870424 0.001992
17.029579 0.002092
17.188734 0.002297
17.347889 0.002602
17.507044 0.002975
17.666199 0.003360
17.825354 0.003685
17.984509 0.003887
18.143664 0.003928
18.302818 0.003810
18.461973 0.003571
18.621128 0.003267
18.780283 0.002956
18.939438 0.002677
19.098593 0.002445
19.257748 0.002255
19.416903 0.002094
19.576058 0.001943
19.735213 0.001791
19.894368 0.001633
20.053523 0.001476
