# Frequency(THz) PDOS
0.000000 0.000414
0.159155 0.001170
0.318310 0.003497
0.477465 0.007444
0.636620 0.012845
0.795775 0.019412
0.954930 0.027267
1.114085 0.037620
1.273240 0.052934
1.432394 0.076070
1.591549 0.108500
1.750704 0.148450
1.909859 0.190144
2.069014 0.224951
2.228169 0.244240
2.387324 0.242733
2.546479 0.220746
2.705634 0.184153
2.864789 0.142062
3.023944 0.103341
3.183099 0.073636
3.342254 0.054171
3.501409 0.042593
3.660564 0.035095
3.819719 0.028565
3.978874 0.021729
4.138029 0.015000
4.297183 0.009492
4.456338 0.005975
4.615493 0.004385
4.774648 0.003994
4.933803 0.003950
5.092958 0.003745
5.252113 0.003332
5.411268 0.002940
5.570423 0.002783
5.729578 0.002897
5.888733 0.003174
6.047888 0.003484
6.207043 0.003778
6.366198 0.004077
6.525353 0.004403
6.684508 0.004729
6.843663 0.005012
7.002817 0.005276
7.161972 0.005662
7.321127 0.006381
7.480282 0.007586
7.639437 0.009236
7.798592 0.011050
7.957747 0.012591
8.116902 0.013441
8.276057 0.013371
8.435212 0.012426
8.594367 0.010886
8.753522 0.009135
8.912677 0.007517
9.071832 0.006239
9.230987 0.005337
9.390142 0.004727
9.549297 0.004272
9.708452 0.003851
9.867606 0.003402
10.026761 0.002929
10.185916 0.002483
10.345071 0.002126
10.504226 0.001900
10.663381 0.001813
10.822536 0.001837
10.981691 0.001933
11.140846 0.002059
11.300001 0.002188
11.459156 0.002299
11.618311 0.002375
11.777466 0.002392
11.936621 0.002333
12.095776 0.002193
12.254931 0.001995
12.414086 0.001782
12.573241 0.001608
12.732395 0.001513
12.891550 0.001511
13.050705 0.001584
13.209860 0.001692
13.369015 0.001784
13.528170 0.001814
13.687325 0.001756
13.846480 0.001606
14.005635 0.001390
14.164790 0.001163
14.323945 0.000991
14.483100 0.000938
14.642255 0.001040
14.801410 0.001295
14.960565 0.001660
15.119720 0.002066
15.278875 0.002444
15.438029 0.002742
15.597184 0.002941
15.756339 0.003043
15.915494 0.003064
16.074649 0.003016
16.233804 0.002905
16.392959 0.002738
16.552114 0.002537
16.711269 0.002350
16.870424 0.002248
17.029579 0.002308
17.188734 0.002582
17.347889 0.003067
