Angle(deg)  Energy(kcal/mol)  Relative_Energy(kcal/mol)
   -40.0        9792.255206                 37.926569
   -38.0        9788.892446                 34.563808
   -36.0        9792.199190                 37.870552
   -34.0        9767.418531                 13.089893
   -32.0       10129.256438                374.927801
   -30.0       10127.883936                373.555299
   -28.0        9777.760269                 23.431632
   -26.0        9774.474386                 20.145748
   -24.0       10124.419243                370.090605
   -22.0       10123.488174                369.159537
   -20.0       10122.692624                368.363987
   -18.0       10121.984628                367.655990
   -16.0       10121.373565                367.044928
   -14.0       10120.860668                366.532031
   -12.0       10120.420697                366.092060
   -10.0       10120.070962                365.742325
    -8.0        9783.412180                 29.083543
    -6.0       10119.576049                365.247411
    -4.0       10119.429705                365.101067
    -2.0        9760.302551                  5.973914
     0.0       10119.315888                364.987250
     2.0        9759.595764                  5.267126
     4.0       10119.429705                365.101067
     6.0       10119.576049                365.247411
     8.0        9754.328638                  0.000000
    10.0       10120.070962                365.742325
    12.0       10120.420697                366.092060
    14.0       10120.860668                366.532031
    16.0       10121.373565                367.044928
    18.0       10121.984628                367.655990
    20.0       10122.692624                368.363987
    22.0       10123.488174                369.159537
    24.0       10124.419243                370.090605
    26.0        9779.068303                 24.739665
    28.0        9762.607565                  8.278927
    30.0       10127.883936                373.555299
    32.0       10129.256438                374.927801
    34.0        9776.914802                 22.586164
    36.0        9797.686476                 43.357839
    38.0        9788.653273                 34.324635
    40.0        9792.232290                 37.903653
