Angle(deg)  Energy(kcal/mol)  Relative_Energy(kcal/mol)
   -40.0       10135.227686                 48.014169
   -38.0       10127.025160                 39.811643
   -36.0       10120.722847                 33.509331
   -34.0       10115.052779                 27.839262
   -32.0       10109.595417                 22.381900
   -30.0       10105.095710                 17.882194
   -28.0       10100.516179                 13.302662
   -26.0       10094.945836                  7.732319
   -24.0       10093.517998                  6.304482
   -22.0       10090.535570                  3.322053
   -20.0       10088.609180                  1.395664
   -18.0       10087.213517                  0.000000
   -16.0       10124.762876                 37.549359
   -14.0       10122.201342                 34.987826
   -12.0       10120.648227                 33.434711
   -10.0       10119.619383                 32.405866
    -8.0       10118.669085                 31.455568
    -6.0       10118.197057                 30.983540
    -4.0       10117.934574                 30.721058
    -2.0       10118.487730                 31.274213
     0.0       10119.315888                 32.102371
     2.0       10118.487730                 31.274213
     4.0       10117.934574                 30.721058
     6.0       10118.197057                 30.983540
     8.0       10118.669085                 31.455568
    10.0       10119.619383                 32.405866
    12.0       10120.648227                 33.434711
    14.0       10122.201342                 34.987826
    16.0       10124.762876                 37.549359
    18.0       10087.213523                  0.000006
    20.0       10088.608952                  1.395435
    22.0       10090.535564                  3.322048
    24.0       10093.517392                  6.303875
    26.0       10094.945754                  7.732237
    28.0       10100.516228                 13.302711
    30.0       10105.095713                 17.882196
    32.0       10109.595416                 22.381899
    34.0       10115.052789                 27.839273
    36.0       10120.722847                 33.509330
    38.0       10127.025160                 39.811643
    40.0       10135.227686                 48.014169
