Angle(deg)  Energy(kcal/mol)  Relative_Energy(kcal/mol)
   -40.0       16453.328889                  4.513650
   -38.0       16452.848953                  4.033714
   -36.0       16452.392743                  3.577504
   -34.0       16451.961768                  3.146529
   -32.0       16451.557844                  2.742605
   -30.0       16451.182867                  2.367628
   -28.0       16450.835963                  2.020724
   -26.0       16450.527952                  1.712713
   -24.0       16450.239186                  1.423946
   -22.0       16449.980021                  1.164782
   -20.0       16449.751145                  0.935906
   -18.0       16449.551292                  0.736053
   -16.0       16449.378566                  0.563327
   -14.0       16449.236183                  0.420944
   -12.0       16449.115139                  0.299900
   -10.0       16449.018559                  0.203320
    -8.0       16448.941788                  0.126549
    -6.0       16448.885891                  0.070652
    -4.0       16448.846554                  0.031315
    -2.0       16448.822443                  0.007204
     0.0       16448.815239                  0.000000
     2.0       16448.822443                  0.007204
     4.0       16448.846554                  0.031315
     6.0       16448.885891                  0.070652
     8.0       16448.941788                  0.126549
    10.0       16449.018559                  0.203320
    12.0       16449.115140                  0.299901
    14.0       16449.236183                  0.420944
    16.0       16449.378566                  0.563327
    18.0       16449.551292                  0.736053
    20.0       16449.751145                  0.935906
    22.0       16449.980022                  1.164783
    24.0       16450.239186                  1.423947
    26.0       16450.527953                  1.712714
    28.0       16450.835964                  2.020725
    30.0       16451.182868                  2.367629
    32.0       16451.557844                  2.742605
    34.0       16451.961768                  3.146529
    36.0       16452.392744                  3.577505
    38.0       16452.848953                  4.033714
    40.0       16453.328890                  4.513651
