Angle(deg)  Energy(kcal/mol)  Relative_Energy(kcal/mol)
   -40.0       16479.483015                 30.667776
   -38.0       16476.544911                 27.729671
   -36.0       16473.747550                 24.932311
   -34.0       16471.190862                 22.375623
   -32.0       16468.623618                 19.808378
   -30.0       16466.265792                 17.450553
   -28.0       16464.048834                 15.233595
   -26.0       16461.928247                 13.113008
   -24.0       16460.014643                 11.199404
   -22.0       16458.242302                  9.427063
   -20.0       16456.642913                  7.827674
   -18.0       16455.177129                  6.361890
   -16.0       16453.898672                  5.083432
   -14.0       16452.704043                  3.888804
   -12.0       16451.670365                  2.855126
   -10.0       16450.810317                  1.995078
    -8.0       16450.095065                  1.279826
    -6.0       16449.558114                  0.742874
    -4.0       16449.155662                  0.340423
    -2.0       16448.899523                  0.084284
     0.0       16448.815239                  0.000000
     2.0       16448.899523                  0.084284
     4.0       16449.155662                  0.340423
     6.0       16449.558113                  0.742874
     8.0       16450.095064                  1.279825
    10.0       16450.810314                  1.995075
    12.0       16451.670364                  2.855125
    14.0       16452.704044                  3.888805
    16.0       16453.898665                  5.083426
    18.0       16455.177133                  6.361894
    20.0       16456.642917                  7.827678
    22.0       16458.241330                  9.426091
    24.0       16460.014447                 11.199208
    26.0       16461.928247                 13.113008
    28.0       16464.048836                 15.233596
    30.0       16466.265798                 17.450559
    32.0       16468.623618                 19.808379
    34.0       16471.190872                 22.375632
    36.0       16473.747553                 24.932314
    38.0       16476.544904                 27.729664
    40.0       16479.483014                 30.667775
