Angle(deg)  Energy(kcal/mol)  Relative_Energy(kcal/mol)
  -180.0        3971.296855                  0.005084
  -170.0        3971.533011                  0.241240
  -160.0        3972.361384                  1.069613
  -150.0        3973.860611                  2.568840
  -140.0        3975.613218                  4.321447
  -130.0        3978.030565                  6.738794
  -120.0        3980.753065                  9.461294
  -110.0        3982.988777                 11.697006
  -100.0        3984.570646                 13.278875
   -90.0        3984.954325                 13.662554
   -80.0        3984.148829                 12.857058
   -70.0        3981.863734                 10.571963
   -60.0        3979.447248                  8.155477
   -50.0        3976.926128                  5.634357
   -40.0        3974.956169                  3.664398
   -30.0        3973.212885                  1.921114
   -20.0        3971.962297                  0.670526
   -10.0        3971.406383                  0.114612
     0.0        3971.291771                  0.000000
    10.0        3971.527741                  0.235970
    20.0        3972.355651                  1.063880
    30.0        3973.855101                  2.563330
    40.0        3975.803120                  4.511349
    50.0        3978.223415                  6.931644
    60.0        3980.539198                  9.247427
    70.0        3982.988127                 11.696356
    80.0        3984.569922                 13.278151
    90.0        3984.953668                 13.661897
   100.0        3984.148413                 12.856642
   110.0        3981.860753                 10.568981
   120.0        3979.449037                  8.157266
   130.0        3976.922160                  5.630389
   140.0        3974.959194                  3.667423
   150.0        3973.217371                  1.925600
   160.0        3971.966972                  0.675201
   170.0        3971.410967                  0.119196
   180.0        3971.296855                  0.005084
