Angle(deg)  Energy(kcal/mol)  Relative_Energy(kcal/mol)
   -20.0        3980.988686                  8.229199
   -18.0        3979.413343                  6.653857
   -16.0        3977.991227                  5.231741
   -14.0        3976.753272                  3.993786
   -12.0        3975.680779                  2.921292
   -10.0        3974.778507                  2.019021
    -8.0        3974.045207                  1.285720
    -6.0        3973.481107                  0.721621
    -4.0        3973.082291                  0.322804
    -2.0        3972.901809                  0.142323
     0.0        3972.759486                  0.000000
     2.0        3972.905215                  0.145729
     4.0        3973.121286                  0.361799
     6.0        3973.538807                  0.779321
     8.0        3974.124751                  1.365265
    10.0        3974.879870                  2.120384
    12.0        3975.804452                  3.044965
    14.0        3976.895709                  4.136222
    16.0        3978.153093                  5.393606
    18.0        3979.590530                  6.831043
    20.0        3981.187721                  8.428234
