Angle(deg)  Energy(kcal/mol)  Relative_Energy(kcal/mol)
   -40.0        4800.346572                  3.888990
   -38.0        4799.942999                  3.485417
   -36.0        4799.576895                  3.119314
   -34.0        4799.235345                  2.777764
   -32.0        4798.898517                  2.440935
   -30.0        4798.583979                  2.126398
   -28.0        4798.297250                  1.839668
   -26.0        4798.029420                  1.571839
   -24.0        4797.788289                  1.330707
   -22.0        4797.564561                  1.106979
   -20.0        4797.368165                  0.910583
   -18.0        4797.188967                  0.731385
   -16.0        4797.030334                  0.572752
   -14.0        4796.892428                  0.434846
   -12.0        4796.775607                  0.318025
   -10.0        4796.679175                  0.221594
    -8.0        4796.598991                  0.141409
    -6.0        4796.537276                  0.079695
    -4.0        4796.493416                  0.035835
    -2.0        4796.467465                  0.009883
     0.0        4796.457582                  0.000000
     2.0        4796.467465                  0.009883
     4.0        4796.493416                  0.035835
     6.0        4796.537276                  0.079695
     8.0        4796.598991                  0.141409
    10.0        4796.679175                  0.221594
    12.0        4796.775607                  0.318025
    14.0        4796.892426                  0.434845
    16.0        4797.030334                  0.572752
    18.0        4797.188967                  0.731385
    20.0        4797.368165                  0.910583
    22.0        4797.564561                  1.106980
    24.0        4797.788289                  1.330707
    26.0        4798.029420                  1.571839
    28.0        4798.297250                  1.839668
    30.0        4798.583980                  2.126398
    32.0        4798.898517                  2.440936
    34.0        4799.235347                  2.777765
    36.0        4799.576896                  3.119314
    38.0        4799.943002                  3.485420
    40.0        4800.346573                  3.888991
