Angle(deg)  Energy(kcal/mol)  Relative_Energy(kcal/mol)
   -40.0        4823.391117                 24.956768
   -38.0        4821.097824                 22.663475
   -36.0        4818.944241                 20.509892
   -34.0        4816.888515                 18.454166
   -32.0        4814.925882                 16.491534
   -30.0        4813.058636                 14.624287
   -28.0        4811.294367                 12.860018
   -26.0        4809.624526                 11.190178
   -24.0        4808.062884                  9.628535
   -22.0        4806.601038                  8.166689
   -20.0        4805.249925                  6.815576
   -18.0        4804.008500                  5.574151
   -16.0        4802.872469                  4.438121
   -14.0        4801.871697                  3.437348
   -12.0        4800.979701                  2.545352
   -10.0        4800.223514                  1.789165
    -8.0        4799.605433                  1.171085
    -6.0        4799.096839                  0.662491
    -4.0        4798.749221                  0.314872
    -2.0        4798.516249                  0.081900
     0.0        4798.434349                  0.000000
     2.0        4798.516249                  0.081900
     4.0        4798.749221                  0.314873
     6.0        4799.096847                  0.662498
     8.0        4799.605437                  1.171089
    10.0        4800.223518                  1.789169
    12.0        4800.979701                  2.545352
    14.0        4801.871704                  3.437355
    16.0        4802.872268                  4.437919
    18.0        4803.991286                  5.556937
    20.0        4805.249966                  6.815617
    22.0        4806.600867                  8.166518
    24.0        4808.062871                  9.628522
    26.0        4809.624486                 11.190137
    28.0        4811.296331                 12.861982
    30.0        4813.058652                 14.624303
    32.0        4814.940732                 16.506383
    34.0        4816.888466                 18.454117
    36.0        4818.958797                 20.524449
    38.0        4821.097789                 22.663440
    40.0        4823.349281                 24.914932
