Angle(deg)  Energy(kcal/mol)  Relative_Energy(kcal/mol)
   -40.0        -953.228679                  2.497318
   -38.0        -953.494970                  2.231027
   -36.0        -953.751536                  1.974461
   -34.0        -953.996205                  1.729792
   -32.0        -954.227264                  1.498733
   -30.0        -954.443251                  1.282746
   -28.0        -954.642860                  1.083137
   -26.0        -954.825009                  0.900988
   -24.0        -954.989124                  0.736873
   -22.0        -955.134761                  0.591236
   -20.0        -955.261847                  0.464150
   -18.0        -955.370984                  0.355013
   -16.0        -955.462895                  0.263102
   -14.0        -955.538365                  0.187632
   -12.0        -955.598463                  0.127534
   -10.0        -955.644590                  0.081407
    -8.0        -955.678368                  0.047629
    -6.0        -955.701631                  0.024366
    -4.0        -955.716156                  0.009841
    -2.0        -955.723707                  0.002290
     0.0        -955.725997                  0.000000
     2.0        -955.724027                  0.001970
     4.0        -955.718452                  0.007545
     6.0        -955.709388                  0.016609
     8.0        -955.696900                  0.029097
    10.0        -955.681008                  0.044989
    12.0        -955.661705                  0.064292
    14.0        -955.638820                  0.087177
    16.0        -955.612174                  0.113823
    18.0        -955.581540                  0.144457
    20.0        -955.546560                  0.179437
    22.0        -955.506805                  0.219192
    24.0        -955.461748                  0.264249
    26.0        -955.410654                  0.315342
    28.0        -955.352679                  0.373318
    30.0        -955.286765                  0.439232
    32.0        -955.211934                  0.514063
    34.0        -955.127063                  0.598934
    36.0        -955.030878                  0.695119
    38.0        -954.921992                  0.804005
    40.0        -954.798975                  0.927022
    42.0        -954.660248                  1.065749
    44.0        -954.504063                  1.221934
    46.0        -954.328595                  1.397402
    48.0        -954.132100                  1.593897
    50.0        -953.912696                  1.813301
    52.0        -953.668499                  2.057498
    54.0        -953.397461                  2.328536
    56.0        -953.097274                  2.628723
    58.0        -952.765376                  2.960621
    60.0        -952.398750                  3.327246
