Angle(deg)  Energy(kcal/mol)  Relative_Energy(kcal/mol)
   -40.0        1787.483167                 37.697137
   -38.0        1784.107200                 34.321169
   -36.0        1780.818202                 31.032172
   -34.0        1777.638378                 27.852347
   -32.0        1774.585360                 24.799330
   -30.0        1771.673715                 21.887684
   -28.0        1768.915438                 19.129407
   -26.0        1766.320619                 16.534589
   -24.0        1763.897739                 14.111708
   -22.0        1761.653963                 11.867932
   -20.0        1759.595289                  9.809258
   -18.0        1757.726738                  7.940708
   -16.0        1756.052242                  6.266211
   -14.0        1754.574448                  4.788418
   -12.0        1753.294934                  3.508903
   -10.0        1752.214778                  2.428748
    -8.0        1751.334339                  1.548308
    -6.0        1750.652995                  0.866964
    -4.0        1750.169349                  0.383318
    -2.0        1749.881312                  0.095281
     0.0        1749.786031                  0.000000
     2.0        1749.880145                  0.094114
     4.0        1750.159708                  0.373678
     6.0        1750.619544                  0.833514
     8.0        1751.253755                  1.467725
    10.0        1752.055615                  2.269584
    12.0        1753.017266                  3.231236
    14.0        1754.128854                  4.342823
    16.0        1755.378242                  5.592211
    18.0        1756.750236                  6.964206
    20.0        1758.225265                  8.439234
    22.0        1759.777360                  9.991329
    24.0        1761.371822                 11.585791
    26.0        1762.961685                 13.175655
    28.0        1764.483588                 14.697557
    30.0        1765.854913                 16.068882
    32.0        1766.977663                 17.191632
    34.0        1767.757473                 17.971443
    36.0        1768.132932                 18.346902
    38.0        1768.096414                 18.310384
    40.0        1767.688646                 17.902615
